Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
4.09044, IMU_DATA, 0.35875, -0.581875, -0.13125, -11, -1669, -16396, , , , , 
4.09075, IMU_DATA, 0.380625, -0.60375, -0.14875, -58, -1587, -16405, , , , , 
4.09105, IMU_DATA, 0.37625, -0.573125, -0.16625, -101, -1648, -16462, , , , , 
4.09134, IMU_DATA, 0.415625, -0.62125, -0.161875, -17, -1652, -16407, , , , , 
4.09165, IMU_DATA, 0.363125, -0.599375, -0.13125, -88, -1588, -16387, , , , , 
4.09195, IMU_DATA, 0.433125, -0.616875, -0.16625, -111, -1613, -16371, , , , , 
4.09225, IMU_DATA, 0.41125, -0.616875, -0.144375, -88, -1644, -16398, , , , , 
4.09254, IMU_DATA, 0.433125, -0.634375, -0.135625, -9, -1617, -16368, , , , , 
4.09285, IMU_DATA, 0.441875, -0.643125, -0.16625, -169, -1568, -16376, , , , , 
4.09315, IMU_DATA, 0.455, -0.625625, -0.161875, -179, -1541, -16388, , , , , 
4.09344, IMU_DATA, 0.46375, -0.67375, -0.14875, -74, -1647, -16395, , , , , 
4.09375, IMU_DATA, 0.4725, -0.669375, -0.1575, -59, -1626, -16370, , , , , 
4.09405, IMU_DATA, 0.49875, -0.67375, -0.1575, -133, -1574, -16391, , , , , 
4.09435, IMU_DATA, 0.485625, -0.65625, -0.13125, -99, -1592, -16369, , , , , 
4.09464, IMU_DATA, 0.529375, -0.713125, -0.170625, -76, -1633, -16348, , , , , 
4.09495, IMU_DATA, 0.51625, -0.695625, -0.14875, -52, -1596, -16380, , , , , 
4.09525, IMU_DATA, 0.511875, -0.6825, -0.13125, -70, -1579, -16427, , , , , 
4.09554, IMU_DATA, 0.53375, -0.70875, -0.170625, -78, -1614, -16416, , , , , 
4.09585, IMU_DATA, 0.546875, -0.704375, -0.14, -68, -1576, -16416, , , , , 
4.09615, IMU_DATA, 0.546875, -0.7175, -0.1575, -117, -1585, -16374, , , , , 
4.09645, IMU_DATA, 0.55125, -0.72625, -0.153125, -120, -1573, -16357, , , , , 
4.09674, IMU_DATA, 0.5425, -0.704375, -0.13125, -131, -1618, -16393, , , , , 
4.09705, IMU_DATA, 0.564375, -0.735, -0.14, -50, -1609, -16456, , , , , 
4.09735, IMU_DATA, 0.538125, -0.695625, -0.14, -78, -1672, -16355, , , , , 
4.09764, IMU_DATA, 0.56875, -0.7175, -0.135625, -99, -1566, -16393, , , , , 
4.09795, IMU_DATA, 0.581875, -0.721875, -0.14875, -83, -1556, -16408, , , , , 
4.09825, IMU_DATA, 0.55125, -0.70875, -0.118125, -97, -1637, -16353, , , , , 
4.09855, IMU_DATA, 0.573125, -0.70875, -0.118125, -146, -1626, -16382, , , , , 
4.09884, IMU_DATA, 0.5775, -0.7175, -0.144375, -121, -1641, -16397, , , , , 
4.09915, IMU_DATA, 0.581875, -0.704375, -0.118125, -55, -1599, -16347, , , , , 
4.09945, IMU_DATA, 0.5775, -0.704375, -0.105, -112, -1606, -16432, , , , , 
4.09974, IMU_DATA, 0.595, -0.704375, -0.13125, -107, -1560, -16394, , , , , 
4.10005, IMU_DATA, 0.56, -0.695625, -0.065625, -194, -1535, -16416, , , , , 
4.10035, IMU_DATA, 0.590625, -0.704375, -0.118125, -70, -1691, -16373, , , , , 
4.10065, IMU_DATA, 0.60375, -0.695625, -0.1225, -48, -1626, -16381, , , , , 
4.10094, IMU_DATA, 0.56, -0.695625, -0.056875, -60, -1639, -16414, , , , , 
4.10125, IMU_DATA, 0.590625, -0.69125, -0.100625, -138, -1613, -16428, , , , , 
4.10155, IMU_DATA, 0.56, -0.7, -0.07875, -107, -1611, -16378, , , , , 
4.10184, IMU_DATA, 0.56875, -0.686875, -0.048125, -115, -1638, -16376, , , , , 
4.10215, IMU_DATA, 0.538125, -0.704375, -0.06125, -107, -1586, -16399, , , , , 
4.10245, IMU_DATA, 0.56875, -0.67375, -0.07, -104, -1578, -16384, , , , , 
4.10275, IMU_DATA, 0.546875, -0.686875, -0.048125, -51, -1590, -16360, , , , , 
4.10304, IMU_DATA, 0.51625, -0.669375, -0.039375, -207, -1571, -16374, , , , , 
4.10335, IMU_DATA, 0.538125, -0.70875, -0.02625, -143, -1579, -16390, , , , , 
4.10365, IMU_DATA, 0.511875, -0.65625, -0.04375, -116, -1610, -16386, , , , , 
4.10394, IMU_DATA, 0.5075, -0.6825, -0.030625, -126, -1666, -16420, , , , , 
4.10425, IMU_DATA, 0.511875, -0.665, 0.0, -231, -1701, -16368, , , , , 
4.10455, IMU_DATA, 0.520625, -0.660625, -0.06125, -170, -1653, -16372, , , , , 
4.10485, IMU_DATA, 0.4725, -0.660625, 0.013125, -144, -1560, -16378, , , , , 
4.10514, IMU_DATA, 0.520625, -0.660625, -0.0175, -143, -1648, -16417, , , , , 
4.10545, IMU_DATA, 0.511875, -0.660625, -0.030625, -156, -1593, -16377, , , , , 
4.10575, IMU_DATA, 0.48125, -0.625625, -0.0175, -52, -1671, -16381, , , , , 
4.10604, IMU_DATA, 0.51625, -0.6475, 0.0, -68, -1552, -16378, , , , , 
4.10635, IMU_DATA, 0.503125, -0.643125, -0.02625, -103, -1591, -16352, , , , , 
4.10665, IMU_DATA, 0.476875, -0.62125, -0.02625, -134, -1601, -16374, , , , , 
4.10695, IMU_DATA, 0.5075, -0.643125, -0.00875, -36, -1647, -16402, , , , , 
4.10724, IMU_DATA, 0.494375, -0.63875, -0.056875, -97, -1604, -16410, , , , , 
4.10755, IMU_DATA, 0.520625, -0.63, -0.039375, -81, -1587, -16405, , , , , 
4.10785, IMU_DATA, 0.49875, -0.616875, -0.030625, -80, -1600, -16456, , , , , 
4.10814, IMU_DATA, 0.494375, -0.6125, -0.039375, -85, -1611, -16392, , , , , 
4.10845, IMU_DATA, 0.494375, -0.6125, -0.056875, -76, -1620, -16414, , , , , 
4.10875, IMU_DATA, 0.503125, -0.634375, -0.048125, -32, -1618, -16399, , , , , 
4.10905, IMU_DATA, 0.494375, -0.616875, -0.056875, -118, -1648, -16372, , , , , 
4.10934, IMU_DATA, 0.49875, -0.625625, -0.074375, -128, -1681, -16453, , , , , 
4.10965, IMU_DATA, 0.468125, -0.599375, -0.048125, -96, -1583, -16416, , , , , 
4.10995, IMU_DATA, 0.503125, -0.63, -0.09625, -124, -1645, -16426, , , , , 
4.11024, IMU_DATA, 0.494375, -0.608125, -0.074375, -142, -1562, -16440, , , , , 
4.11055, IMU_DATA, 0.49875, -0.608125, -0.07, -151, -1606, -16388, , , , , 
4.11085, IMU_DATA, 0.48125, -0.599375, -0.07, -166, -1571, -16383, , , , , 
4.11115, IMU_DATA, 0.51625, -0.63, -0.11375, -90, -1591, -16382, , , , , 
4.11144, IMU_DATA, 0.49875, -0.616875, -0.06125, -42, -1649, -16370, , , , , 
