Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
1.52588e-05, IMG_DATA, , , , , , , , , , Image_00000 
6.08317, IMU_DATA, -19.4512, 0.09625, 0.04375, 16366, -899, 467, , , , , 
6.08797, IMU_DATA, -19.5344, -0.109375, -0.424375, 16360, -665, 489, , , , , 
6.09277, IMU_DATA, -19.6919, -0.441875, -0.818125, 16427, -494, 536, , , , , 
6.09757, IMU_DATA, -19.7925, -0.896875, -1.02375, 16441, -287, 449, , , , , 
6.10237, IMU_DATA, -19.9894, -1.26, -1.17687, 16439, -52, 345, , , , , 
6.10717, IMU_DATA, -20.2912, -1.44812, -1.28625, 16424, 168, 247, , , , , 
5.78102, IMG_DATA, , , , , , , , , , Image_00058 
6.11197, IMU_DATA, -20.3875, -1.67562, -1.27312, 16394, 339, 47, , , , , 
6.11677, IMU_DATA, -20.5231, -1.82875, -1.11125, 16372, 495, -149, , , , , 
6.12157, IMU_DATA, -20.6019, -2.02125, -0.888125, 16359, 580, -361, , , , , 
6.12637, IMU_DATA, -20.6937, -2.12187, -0.564375, 16358, 642, -513, , , , , 
6.13117, IMU_DATA, -20.7681, -2.06937, -0.284375, 16302, 709, -663, , , , , 
6.13597, IMU_DATA, -20.7987, -1.87687, 0.04375, 16332, 650, -788, , , , , 
6.14077, IMU_DATA, -20.8731, -1.60562, 0.4375, 16360, 567, -869, , , , , 
6.14557, IMU_DATA, -20.8469, -1.26437, 0.765625, 16359, 484, -911, , , , , 
6.15037, IMU_DATA, -20.7462, -0.975625, 1.01937, 16374, 291, -920, , , , , 
6.15517, IMU_DATA, -20.6762, -0.739375, 1.24687, 16372, 105, -864, , , , , 
6.15997, IMU_DATA, -20.7287, -0.41125, 1.365, 16348, -32, -834, , , , , 
6.16477, IMU_DATA, -20.8162, -0.14, 1.39562, 16353, -179, -716, , , , , 
6.16957, IMU_DATA, -20.825, 0.048125, 1.42187, 16398, -371, -601, , , , , 
6.17437, IMU_DATA, -20.895, 0.175, 1.27312, 16397, -456, -488, , , , , 
6.17917, IMU_DATA, -20.9169, 0.109375, 0.984375, 16401, -536, -382, , , , , 
6.18397, IMU_DATA, -20.9956, 0.09625, 0.81375, 16431, -602, -277, , , , , 
6.18877, IMU_DATA, -21.245, 0.21, 0.69125, 16422, -620, -159, , , , , 
6.19357, IMU_DATA, -21.4025, 0.083125, 0.4375, 16414, -572, -134, , , , , 
6.19837, IMU_DATA, -21.6037, 0.00875, 0.056875, 16358, -456, -62, , , , , 
6.20317, IMU_DATA, -21.8575, -0.056875, -0.284375, 16370, -290, -6, , , , , 
6.20797, IMU_DATA, -22.1331, -0.0875, -0.468125, 16356, -187, -26, , , , , 
6.21277, IMU_DATA, -22.2294, -0.21, -0.529375, 16372, -25, -58, , , , , 
5.88104, IMG_DATA, , , , , , , , , , Image_00059 
6.21757, IMU_DATA, -22.435, -0.240625, -0.5775, 16378, 128, -87, , , , , 
6.22237, IMU_DATA, -22.4919, -0.42, -0.55125, 16383, 221, -83, , , , , 
6.22717, IMU_DATA, -22.5137, -0.525, -0.3675, 16422, 265, -130, , , , , 
6.23197, IMU_DATA, -22.5269, -0.6125, -0.1925, 16387, 446, -255, , , , , 
6.23677, IMU_DATA, -22.4656, -0.63, 0.07, 16308, 478, -211, , , , , 
6.24157, IMU_DATA, -22.4, -0.555625, 0.625625, 16387, 235, -208, , , , , 
6.24637, IMU_DATA, -22.3212, -0.49875, 0.940625, 16383, 185, -283, , , , , 
6.25117, IMU_DATA, -22.2687, -0.4375, 0.704375, 16267, 388, -244, , , , , 
6.25597, IMU_DATA, -22.2337, -0.35, 0.695625, 16262, 284, -108, , , , , 
6.26077, IMU_DATA, -22.1244, -0.275625, 1.27312, 16342, -28, -107, , , , , 
6.26557, IMU_DATA, -22.1156, -0.3325, 1.74562, 16426, -169, -91, , , , , 
6.27037, IMU_DATA, -22.1769, -0.46375, 1.67562, 16400, -232, -34, , , , , 
6.27517, IMU_DATA, -22.1287, -0.643125, 1.38687, 16437, -378, -45, , , , , 
6.27997, IMU_DATA, -22.12, -0.721875, 1.2775, 16437, -515, -65, , , , , 
6.28477, IMU_DATA, -22.1244, -0.774375, 1.16812, 16407, -576, -24, , , , , 
6.28957, IMU_DATA, -22.2381, -0.783125, 0.91, 16410, -598, -54, , , , , 
6.29437, IMU_DATA, -22.2819, -0.931875, 0.643125, 16402, -601, -108, , , , , 
6.29917, IMU_DATA, -22.33, -1.04562, 0.371875, 16408, -542, -163, , , , , 
6.30397, IMU_DATA, -22.4394, -1.04125, 0.06125, 16349, -389, -223, , , , , 
6.30877, IMU_DATA, -22.5269, -1.00625, -0.18375, 16352, -241, -351, , , , , 
6.31357, IMU_DATA, -22.5269, -1.15937, -0.32375, 16400, -174, -463, , , , , 
6.31837, IMU_DATA, -22.4612, -1.26875, -0.455, 16377, -51, -523, , , , , 
5.98103, IMG_DATA, , , , , , , , , , Image_00060 
6.32317, IMU_DATA, -22.4656, -1.20312, -0.49, 16372, 112, -607, , , , , 
6.32797, IMU_DATA, -22.4919, -1.07625, -0.441875, 16369, 256, -621, , , , , 
6.33277, IMU_DATA, -22.5794, -0.818125, -0.380625, 16374, 404, -574, , , , , 
6.33757, IMU_DATA, -22.5575, -0.538125, -0.275625, 16385, 523, -584, , , , , 
6.34237, IMU_DATA, -22.4744, -0.380625, -0.030625, 16358, 536, -537, , , , , 
6.34717, IMU_DATA, -22.4525, -0.28, 0.37625, 16345, 450, -496, , , , , 
6.35197, IMU_DATA, -22.4919, -0.170625, 0.77875, 16361, 360, -456, , , , , 
6.35677, IMU_DATA, -22.5837, -0.07, 0.9975, 16357, 283, -450, , , , , 
6.36157, IMU_DATA, -22.7106, -0.021875, 1.06312, 16345, 195, -375, , , , , 
6.36637, IMU_DATA, -22.7937, -0.0175, 1.15937, 16359, 114, -281, , , , , 
6.37117, IMU_DATA, -22.9731, 0.004375, 1.32562, 16387, -25, -173, , , , , 
6.37597, IMU_DATA, -23.1044, -0.02625, 1.46562, 16405, -213, -119, , , , , 
6.38077, IMU_DATA, -23.3931, -0.0175, 1.50062, 16432, -324, -72, , , , , 
6.38557, IMU_DATA, -23.5419, -0.118125, 1.36062, 16420, -363, -70, , , , , 
6.39037, IMU_DATA, -23.4369, -0.3325, 1.18562, 16407, -449, -84, , , , , 
6.39517, IMU_DATA, -23.4719, -0.450625, 1.06312, 16381, -555, -116, , , , , 
6.39997, IMU_DATA, -23.5287, -0.651875, 0.8575, 16386, -590, -180, , , , , 
6.40477, IMU_DATA, -23.5725, -0.77875, 0.53375, 16373, -547, -264, , , , , 
6.40957, IMU_DATA, -23.5069, -0.83125, 0.249375, 16388, -474, -273, , , , , 
6.41437, IMU_DATA, -23.3144, -0.93625, -0.00875, 16408, -351, -322, , , , , 
6.41917, IMU_DATA, -23.1525, -0.896875, -0.245, 16422, -253, -386, , , , , 
6.42397, IMU_DATA, -22.9469, -0.7175, -0.406875, 16421, -184, -436, , , , , 
6.08104, IMG_DATA, , , , , , , , , , Image_00061 
6.42877, IMU_DATA, -22.7369, -0.450625, -0.46375, 16410, -99, -417, , , , , 
6.43357, IMU_DATA, -22.4306, -0.336875, -0.49, 16374, -28, -404, , , , , 
6.43837, IMU_DATA, -22.085, -0.14875, -0.49875, 16343, 58, -394, , , , , 
6.44317, IMU_DATA, -21.7612, 0.048125, -0.44625, 16327, 158, -326, , , , , 
6.44797, IMU_DATA, -21.5731, 0.170625, -0.310625, 16318, 196, -207, , , , , 
6.45277, IMU_DATA, -21.4069, 0.179375, -0.11375, 16342, 185, -94, , , , , 
6.45757, IMU_DATA, -21.21, 0.188125, 0.135625, 16367, 148, 7, , , , , 
6.46237, IMU_DATA, -21.0525, 0.1575, 0.319375, 16388, 134, 86, , , , , 
6.46717, IMU_DATA, -21.0262, 0.06125, 0.468125, 16392, 93, 172, , , , , 
6.47197, IMU_DATA, -21.0875, -0.065625, 0.581875, 16384, 25, 184, , , , , 
6.47677, IMU_DATA, -21.1925, -0.266875, 0.774375, 16349, -82, 227, , , , , 
6.48157, IMU_DATA, -21.2056, -0.55125, 0.931875, 16361, -215, 203, , , , , 
6.48637, IMU_DATA, -21.2975, -0.70875, 1.015, 16376, -290, 188, , , , , 
6.49117, IMU_DATA, -21.4025, -0.93625, 0.98875, 16362, -354, 111, , , , , 
6.49597, IMU_DATA, -21.5775, -1.17687, 0.9275, 16380, -375, 76, , , , , 
6.50077, IMU_DATA, -21.6737, -1.44812, 0.879375, 16386, -402, 9, , , , , 
6.50557, IMU_DATA, -21.8444, -1.51812, 0.800625, 16411, -417, -124, , , , , 
6.51037, IMU_DATA, -22.0631, -1.5575, 0.62125, 16418, -392, -328, , , , , 
6.51517, IMU_DATA, -22.26, -1.62312, 0.441875, 16397, -315, -421, , , , , 
6.51997, IMU_DATA, -22.2775, -1.7675, 0.245, 16360, -290, -564, , , , , 
6.52477, IMU_DATA, -22.3606, -1.60125, 0.1225, 16381, -237, -677, , , , , 
6.52957, IMU_DATA, -22.5006, -1.2425, -0.039375, 16329, -72, -726, , , , , 
6.18103, IMG_DATA, , , , , , , , , , Image_00062 
6.53437, IMU_DATA, -22.5619, -0.914375, -0.126875, 16396, 63, -733, , , , , 
6.53917, IMU_DATA, -22.5881, -0.63, -0.11375, 16395, 140, -700, , , , , 
6.54397, IMU_DATA, -22.5619, -0.503125, -0.109375, 16420, 207, -699, , , , , 
6.54877, IMU_DATA, -22.5925, -0.35875, 0.021875, 16414, 258, -640, , , , , 
6.55357, IMU_DATA, -22.6231, -0.16625, 0.14, 16378, 328, -595, , , , , 
6.55837, IMU_DATA, -22.6056, -0.030625, 0.28, 16356, 341, -534, , , , , 
6.56317, IMU_DATA, -22.6625, 0.065625, 0.468125, 16342, 343, -440, , , , , 
6.56797, IMU_DATA, -22.7194, 0.144375, 0.651875, 16344, 244, -403, , , , , 
6.57277, IMU_DATA, -22.7937, 0.170625, 0.8575, 16383, 116, -261, , , , , 
6.57757, IMU_DATA, -22.8812, 0.144375, 1.04125, 16388, 16, -150, , , , , 
6.58237, IMU_DATA, -22.96, 0.11375, 1.1375, 16412, -23, -110, , , , , 
6.58717, IMU_DATA, -23.1875, 0.035, 1.13312, 16426, -110, -59, , , , , 
6.59197, IMU_DATA, -23.4281, 0.02625, 1.12875, 16402, -273, -44, , , , , 
6.59677, IMU_DATA, -23.5944, -0.065625, 1.1725, 16390, -384, -42, , , , , 
6.60157, IMU_DATA, -23.625, -0.2275, 1.11562, 16351, -424, -59, , , , , 
6.60637, IMU_DATA, -23.7037, -0.310625, 0.931875, 16338, -438, -77, , , , , 
6.61117, IMU_DATA, -23.8044, -0.406875, 0.7, 16362, -419, -60, , , , , 
6.61597, IMU_DATA, -23.8131, -0.49, 0.546875, 16374, -383, -54, , , , , 
6.62077, IMU_DATA, -23.9137, -0.494375, 0.41125, 16403, -358, -52, , , , , 
6.62557, IMU_DATA, -24.0537, -0.4725, 0.249375, 16389, -324, -67, , , , , 
6.63037, IMU_DATA, -24.045, -0.48125, 0.074375, 16406, -239, -91, , , , , 
6.63517, IMU_DATA, -23.8394, -0.65625, -0.105, 16390, -178, -111, , , , , 
6.28104, IMG_DATA, , , , , , , , , , Image_00063 
6.63997, IMU_DATA, -23.6862, -0.765625, -0.21875, 16360, -74, -132, , , , , 
6.64477, IMU_DATA, -23.7037, -0.748125, -0.2975, 16340, 18, -135, , , , , 
6.64957, IMU_DATA, -23.7606, -0.6825, -0.30625, 16360, 78, -167, , , , , 
6.65437, IMU_DATA, -23.7475, -0.6125, -0.25375, 16377, 134, -174, , , , , 
6.65917, IMU_DATA, -23.7562, -0.564375, -0.175, 16387, 231, -184, , , , , 
6.66397, IMU_DATA, -23.765, -0.58625, -0.105, 16407, 288, -208, , , , , 
6.66877, IMU_DATA, -23.7781, -0.67375, -0.004375, 16418, 329, -254, , , , , 
6.67357, IMU_DATA, -23.835, -0.7, 0.170625, 16394, 301, -263, , , , , 
6.67837, IMU_DATA, -23.9006, -0.651875, 0.406875, 16371, 280, -286, , , , , 
6.68317, IMU_DATA, -23.9356, -0.72625, 0.56, 16333, 234, -334, , , , , 
6.68797, IMU_DATA, -23.8787, -0.8925, 0.608125, 16336, 225, -388, , , , , 
6.69277, IMU_DATA, -23.9269, -0.83125, 0.77875, 16356, 152, -406, , , , , 
6.69757, IMU_DATA, -24.0844, -0.67375, 1.02375, 16352, 76, -428, , , , , 
6.70237, IMU_DATA, -24.1719, -0.56, 1.17687, 16390, -24, -459, , , , , 
6.70717, IMU_DATA, -24.1544, -0.525, 1.26, 16404, -141, -476, , , , , 
6.71197, IMU_DATA, -24.115, -0.555625, 1.32125, 16392, -260, -482, , , , , 
6.71677, IMU_DATA, -24.2069, -0.363125, 1.39562, 16411, -352, -489, , , , , 
6.72157, IMU_DATA, -24.2156, -0.1925, 1.40875, 16411, -420, -500, , , , , 
6.72637, IMU_DATA, -24.0581, -0.14875, 1.32125, 16392, -529, -460, , , , , 
6.73117, IMU_DATA, -23.8044, -0.231875, 1.25562, 16363, -590, -407, , , , , 
6.73597, IMU_DATA, -23.7387, -0.126875, 1.1375, 16388, -620, -346, , , , , 
6.74077, IMU_DATA, -23.8, 0.109375, 0.931875, 16364, -618, -260, , , , , 
6.38103, IMG_DATA, , , , , , , , , , Image_00064 
6.74557, IMU_DATA, -23.7431, 0.223125, 0.70875, 16364, -582, -175, , , , , 
6.75037, IMU_DATA, -23.5506, 0.109375, 0.494375, 16403, -532, -130, , , , , 
6.75517, IMU_DATA, -23.4894, 0.065625, 0.310625, 16394, -431, -68, , , , , 
6.75997, IMU_DATA, -23.5506, 0.074375, 0.188125, 16410, -368, -32, , , , , 
6.76477, IMU_DATA, -23.4719, 0.00875, 0.07875, 16408, -300, 8, , , , , 
6.76957, IMU_DATA, -23.31, -0.153125, -0.02625, 16402, -190, 36, , , , , 
6.77437, IMU_DATA, -23.2619, -0.245, -0.11375, 16393, -94, 35, , , , , 
6.77917, IMU_DATA, -23.1831, -0.240625, -0.179375, 16381, -27, 38, , , , , 
6.78397, IMU_DATA, -23.0694, -0.293125, -0.188125, 16368, 42, 0, , , , , 
6.78877, IMU_DATA, -22.9556, -0.49, -0.09625, 16398, 88, -2, , , , , 
6.79357, IMU_DATA, -22.8944, -0.63875, -0.02625, 16371, 141, -49, , , , , 
6.79837, IMU_DATA, -22.7281, -0.7525, -0.021875, 16361, 197, -111, , , , , 
6.80317, IMU_DATA, -22.5531, -0.7875, 0.07, 16365, 220, -167, , , , , 
6.80797, IMU_DATA, -22.4656, -0.765625, 0.249375, 16350, 234, -223, , , , , 
6.81277, IMU_DATA, -22.2819, -0.861875, 0.35, 16354, 186, -270, , , , , 
6.81757, IMU_DATA, -22.1944, -0.879375, 0.424375, 16394, 141, -301, , , , , 
6.82237, IMU_DATA, -22.0762, -0.76125, 0.564375, 16384, 130, -306, , , , , 
6.82717, IMU_DATA, -21.8837, -0.70875, 0.721875, 16371, 89, -306, , , , , 
6.83197, IMU_DATA, -21.8356, -0.56875, 0.875, 16322, 65, -324, , , , , 
6.83677, IMU_DATA, -21.7219, -0.476875, 1.07187, 16356, -37, -284, , , , , 
6.84157, IMU_DATA, -21.5337, -0.49875, 1.16812, 16332, -56, -301, , , , , 
6.84637, IMU_DATA, -21.2931, -0.590625, 1.225, 16363, -141, -313, , , , , 
6.48103, IMG_DATA, , , , , , , , , , Image_00065 
6.85117, IMU_DATA, -21.1094, -0.7875, 1.33, 16358, -156, -287, , , , , 
6.85597, IMU_DATA, -21.1094, -0.65625, 1.42625, 16398, -212, -304, , , , , 
6.86077, IMU_DATA, -21.0831, -0.564375, 1.45687, 16398, -299, -239, , , , , 
6.86557, IMU_DATA, -21.0481, -0.5425, 1.53562, 16423, -352, -241, , , , , 
6.87037, IMU_DATA, -20.965, -0.546875, 1.44812, 16428, -325, -270, , , , , 
6.87517, IMU_DATA, -20.8994, -0.555625, 1.23812, 16365, -278, -242, , , , , 
6.87997, IMU_DATA, -20.895, -0.56, 1.12437, 16366, -314, -258, , , , , 
6.88477, IMU_DATA, -20.8556, -0.581875, 1.1375, 16368, -315, -306, , , , , 
6.88957, IMU_DATA, -20.8731, -0.511875, 1.12875, 16368, -310, -296, , , , , 
6.89437, IMU_DATA, -20.7506, -0.525, 1.01937, 16355, -313, -287, , , , , 
6.89917, IMU_DATA, -20.5144, -0.660625, 0.84, 16387, -312, -300, , , , , 
6.90397, IMU_DATA, -20.4312, -0.590625, 0.76125, 16364, -336, -297, , , , , 
6.90877, IMU_DATA, -20.3962, -0.525, 0.669375, 16444, -344, -305, , , , , 
6.91357, IMU_DATA, -20.3656, -0.538125, 0.546875, 16407, -360, -276, , , , , 
6.91837, IMU_DATA, -20.3, -0.48125, 0.380625, 16404, -371, -287, , , , , 
6.92317, IMU_DATA, -20.1337, -0.415625, 0.245, 16354, -407, -279, , , , , 
6.92797, IMU_DATA, -20.1162, -0.245, 0.14875, 16381, -414, -276, , , , , 
6.93277, IMU_DATA, -20.0681, -0.14875, -0.02625, 16381, -381, -280, , , , , 
6.93757, IMU_DATA, -19.8669, -0.205625, -0.21875, 16376, -335, -277, , , , , 
6.94237, IMU_DATA, -19.6087, -0.27125, -0.34125, 16360, -323, -219, , , , , 
6.94717, IMU_DATA, -19.4337, -0.091875, -0.398125, 16408, -330, -173, , , , , 
6.95197, IMU_DATA, -19.1537, -0.074375, -0.450625, 16379, -294, -150, , , , , 
6.58104, IMG_DATA, , , , , , , , , , Image_00066 
6.95677, IMU_DATA, -18.8606, -0.214375, -0.525, 16392, -228, -138, , , , , 
6.96157, IMU_DATA, -18.7206, -0.249375, -0.581875, 16402, -166, -134, , , , , 
6.96637, IMU_DATA, -18.55, -0.214375, -0.555625, 16374, -86, -81, , , , , 
6.97117, IMU_DATA, -18.3619, -0.170625, -0.49, 16342, -36, -110, , , , , 
6.97597, IMU_DATA, -18.2262, -0.266875, -0.39375, 16337, 59, -66, , , , , 
6.98077, IMU_DATA, -18.0294, -0.450625, -0.30625, 16343, 142, -69, , , , , 
6.98557, IMU_DATA, -17.7581, -0.555625, -0.14, 16367, 221, -65, , , , , 
6.99037, IMU_DATA, -17.5175, -0.546875, 0.074375, 16363, 260, -83, , , , , 
6.99517, IMU_DATA, -17.3819, -0.51625, 0.3325, 16346, 314, -116, , , , , 
6.99997, IMU_DATA, -17.1456, -0.60375, 0.60375, 16392, 304, -129, , , , , 
7.00477, IMU_DATA, -16.8787, -0.695625, 0.90125, 16368, 254, -141, , , , , 
7.00957, IMU_DATA, -16.7431, -0.651875, 1.2075, 16364, 218, -157, , , , , 
7.01437, IMU_DATA, -16.5812, -0.7175, 1.43062, 16369, 162, -172, , , , , 
7.01917, IMU_DATA, -16.5069, -0.77, 1.6275, 16393, 18, -187, , , , , 
7.02397, IMU_DATA, -16.4587, -0.74375, 1.83312, 16374, -117, -214, , , , , 
7.02877, IMU_DATA, -16.2969, -0.6825, 1.87687, 16345, -307, -196, , , , , 
7.03357, IMU_DATA, -16.1131, -0.643125, 1.84625, 16382, -429, -214, , , , , 
7.03837, IMU_DATA, -16.0212, -0.69125, 1.70625, 16409, -589, -208, , , , , 
7.04317, IMU_DATA, -16.0781, -0.62125, 1.49625, 16391, -718, -215, , , , , 
7.04797, IMU_DATA, -16.0562, -0.56875, 1.26875, 16396, -834, -212, , , , , 
7.05277, IMU_DATA, -15.9862, -0.599375, 0.984375, 16428, -930, -194, , , , , 
7.05757, IMU_DATA, -15.9819, -0.555625, 0.695625, 16401, -996, -178, , , , , 
6.68955, IMG_DATA, , , , , , , , , , Image_00067 
7.06237, IMU_DATA, -15.9206, -0.599375, 0.336875, 16423, -1001, -170, , , , , 
7.06717, IMU_DATA, -15.9206, -0.56875, -0.11375, 16397, -996, -187, , , , , 
7.07197, IMU_DATA, -15.9425, -0.546875, -0.5075, 16411, -926, -190, , , , , 
7.07677, IMU_DATA, -15.9381, -0.581875, -0.914375, 16398, -821, -196, , , , , 
7.08157, IMU_DATA, -15.9294, -0.63875, -1.32125, 16395, -651, -204, , , , , 
7.08637, IMU_DATA, -15.9119, -0.6475, -1.61, 16387, -456, -212, , , , , 
7.09117, IMU_DATA, -15.995, -0.67375, -1.81125, 16385, -278, -212, , , , , 
7.09597, IMU_DATA, -16.03, -0.7, -1.89875, 16381, -67, -267, , , , , 
7.10077, IMU_DATA, -15.9862, -0.735, -1.86375, 16398, 157, -305, , , , , 
7.10557, IMU_DATA, -15.9556, -0.69125, -1.73687, 16430, 343, -338, , , , , 
7.11037, IMU_DATA, -15.925, -0.63875, -1.54437, 16384, 528, -379, , , , , 
7.11517, IMU_DATA, -15.8637, -0.595, -1.27312, 16434, 667, -420, , , , , 
7.11997, IMU_DATA, -15.6625, -0.60375, -0.91875, 16378, 738, -425, , , , , 
7.12477, IMU_DATA, -15.5487, -0.529375, -0.49, 16336, 824, -440, , , , , 
7.12957, IMU_DATA, -15.4744, -0.485625, -0.07, 16322, 820, -432, , , , , 
7.13437, IMU_DATA, -15.3344, -0.42875, 0.385, 16333, 754, -434, , , , , 
7.13917, IMU_DATA, -15.1156, -0.44625, 0.875, 16329, 699, -421, , , , , 
7.14397, IMU_DATA, -14.9975, -0.301875, 1.295, 16351, 574, -354, , , , , 
7.14877, IMU_DATA, -14.7919, -0.245, 1.61437, 16368, 405, -288, , , , , 
7.15357, IMU_DATA, -14.6256, -0.284375, 1.88125, 16394, 232, -228, , , , , 
7.15837, IMU_DATA, -14.5512, -0.20125, 2.03, 16381, 62, -167, , , , , 
7.16317, IMU_DATA, -14.5031, -0.06125, 2.16125, 16396, -145, -114, , , , , 
6.78103, IMG_DATA, , , , , , , , , , Image_00068 
7.16797, IMU_DATA, -14.4594, 0.04375, 2.27937, 16367, -314, -46, , , , , 
7.17277, IMU_DATA, -14.28, -0.07, 2.25312, 16407, -487, 19, , , , , 
7.17757, IMU_DATA, -14.1925, -0.161875, 2.12625, 16418, -670, 35, , , , , 
7.18237, IMU_DATA, -14.14, -0.214375, 1.88562, 16421, -784, 57, , , , , 
7.18717, IMU_DATA, -14.1181, -0.345625, 1.60562, 16399, -846, 36, , , , , 
7.19197, IMU_DATA, -14.1181, -0.44625, 1.33437, 16415, -962, 72, , , , , 
7.19677, IMU_DATA, -14.1356, -0.555625, 1.02812, 16383, -979, 61, , , , , 
7.20157, IMU_DATA, -14.1444, -0.643125, 0.62125, 16361, -875, -58, , , , , 
7.20637, IMU_DATA, -14.1312, -0.67375, 0.4025, 16363, -928, 56, , , , , 
7.21117, IMU_DATA, -14.0656, -0.853125, 0.14, 16407, -818, -121, , , , , 
7.21597, IMU_DATA, -13.9212, -0.97125, -0.205625, 16392, -683, -176, , , , , 
7.22077, IMU_DATA, -13.9125, -0.84875, -0.53375, 16394, -619, -145, , , , , 
7.22557, IMU_DATA, -14.0569, -0.783125, -0.853125, 16409, -438, -205, , , , , 
7.23037, IMU_DATA, -14.1269, -0.896875, -1.21625, 16408, -193, -294, , , , , 
7.23517, IMU_DATA, -14.1225, -0.93625, -1.33875, 16412, -122, -246, , , , , 
7.23997, IMU_DATA, -14.1137, -0.835625, -1.19875, 16421, 38, -353, , , , , 
7.24477, IMU_DATA, -14.0219, -0.721875, -1.06312, 16394, 158, -334, , , , , 
7.24957, IMU_DATA, -13.9869, -0.665, -0.914375, 16359, 286, -320, , , , , 
7.25437, IMU_DATA, -14.0919, -0.625625, -0.739375, 16364, 363, -380, , , , , 
7.25917, IMU_DATA, -14.0656, -0.72625, -0.529375, 16340, 416, -382, , , , , 
7.26397, IMU_DATA, -14.1444, -0.665, -0.275625, 16335, 474, -356, , , , , 
7.26877, IMU_DATA, -14.1444, -0.686875, -0.0175, 16350, 502, -432, , , , , 
6.88104, IMG_DATA, , , , , , , , , , Image_00069 
7.27357, IMU_DATA, -14.1181, -0.63, 0.293125, 16375, 439, -362, , , , , 
7.27837, IMU_DATA, -14.2406, -0.476875, 0.581875, 16396, 358, -356, , , , , 
7.28317, IMU_DATA, -14.3194, -0.49, 0.748125, 16390, 344, -387, , , , , 
7.28797, IMU_DATA, -14.2319, -0.485625, 0.86625, 16396, 286, -408, , , , , 
7.29277, IMU_DATA, -14.0919, -0.354375, 1.11125, 16390, 148, -372, , , , , 
7.29757, IMU_DATA, -13.9475, -0.25375, 1.295, 16373, 57, -388, , , , , 
7.30237, IMU_DATA, -13.7462, -0.16625, 1.43062, 16341, -96, -333, , , , , 
7.30717, IMU_DATA, -13.5712, -0.091875, 1.56625, 16367, -240, -324, , , , , 
7.31197, IMU_DATA, -13.4181, -0.100625, 1.54437, 16359, -306, -310, , , , , 
7.31677, IMU_DATA, -13.2956, -0.021875, 1.44375, 16356, -397, -197, , , , , 
7.32157, IMU_DATA, -13.16, 0.035, 1.42625, 16373, -496, -199, , , , , 
7.32637, IMU_DATA, -12.9325, 0.021875, 1.43937, 16424, -591, -140, , , , , 
7.33117, IMU_DATA, -12.7312, 0.00875, 1.25125, 16419, -683, -46, , , , , 
7.33597, IMU_DATA, -12.6437, 0.039375, 0.984375, 16390, -678, -20, , , , , 
7.34077, IMU_DATA, -12.4687, -0.0875, 0.756875, 16381, -709, 44, , , , , 
7.34557, IMU_DATA, -12.4031, -0.11375, 0.5775, 16387, -748, 76, , , , , 
7.35037, IMU_DATA, -12.2762, -0.275625, 0.424375, 16363, -754, 115, , , , , 
7.35517, IMU_DATA, -12.2106, -0.42, 0.23625, 16378, -715, 158, , , , , 
7.35997, IMU_DATA, -12.1931, -0.44625, 0.0, 16363, -636, 156, , , , , 
7.36477, IMU_DATA, -12.0094, -0.695625, -0.188125, 16371, -549, 114, , , , , 
7.36957, IMU_DATA, -11.865, -0.97125, -0.293125, 16338, -453, 146, , , , , 
7.37437, IMU_DATA, -11.9131, -1.11125, -0.415625, 16377, -358, 91, , , , , 
6.98104, IMG_DATA, , , , , , , , , , Image_00070 
7.37917, IMU_DATA, -11.9219, -1.14187, -0.494375, 16372, -252, 48, , , , , 
7.38397, IMU_DATA, -11.7337, -1.30375, -0.555625, 16386, -178, 6, , , , , 
7.38877, IMU_DATA, -11.6594, -1.3125, -0.538125, 16399, -75, -61, , , , , 
7.39357, IMU_DATA, -11.6025, -1.32125, -0.485625, 16404, 30, -115, , , , , 
7.39837, IMU_DATA, -11.5194, -1.33, -0.44625, 16391, 64, -192, , , , , 
7.40317, IMU_DATA, -11.4275, -1.33875, -0.315, 16384, 115, -255, , , , , 
7.40797, IMU_DATA, -11.3181, -1.33, -0.196875, 16367, 132, -313, , , , , 
7.41277, IMU_DATA, -11.1781, -1.28625, -0.056875, 16370, 136, -358, , , , , 
7.41757, IMU_DATA, -11.0512, -1.21187, 0.056875, 16355, 125, -428, , , , , 
7.42237, IMU_DATA, -10.9375, -1.155, 0.118125, 16372, 81, -459, , , , , 
7.42717, IMU_DATA, -10.8194, -1.0325, 0.231875, 16359, 34, -477, , , , , 
7.43197, IMU_DATA, -10.57, -0.923125, 0.3325, 16373, -35, -508, , , , , 
7.43677, IMU_DATA, -10.3119, -0.853125, 0.450625, 16414, -112, -496, , , , , 
7.44157, IMU_DATA, -10.1194, -0.678125, 0.555625, 16402, -161, -431, , , , , 
7.44637, IMU_DATA, -9.99687, -0.450625, 0.573125, 16410, -192, -464, , , , , 
7.45117, IMU_DATA, -9.8, -0.354375, 0.5775, 16410, -259, -420, , , , , 
7.45597, IMU_DATA, -9.61625, -0.1575, 0.525, 16391, -297, -389, , , , , 
7.46077, IMU_DATA, -9.40187, -0.083125, 0.4025, 16367, -264, -375, , , , , 
7.46557, IMU_DATA, -9.05187, -0.301875, 0.214375, 16354, -276, -356, , , , , 
