Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
1.52588e-05, IMG_DATA, , , , , , , , , , Image_00000 
0.313571, IMU_DATA, 0.455, -0.756875, -0.363125, 16373, -39, -256, , , , , 
0.318371, IMU_DATA, 0.4725, -0.8225, -0.34125, 16370, -46, -229, , , , , 
0.323171, IMU_DATA, 0.468125, -0.844375, -0.25375, 16370, -66, -300, , , , , 
0.327971, IMU_DATA, 0.406875, -0.91875, -0.091875, 16392, -71, -327, , , , , 
0.332771, IMU_DATA, 0.37625, -0.993125, 0.04375, 16389, -90, -345, , , , , 
0.337571, IMU_DATA, 0.433125, -1.04562, 0.13125, 16356, -104, -431, , , , , 
0.342371, IMU_DATA, 0.5425, -1.10687, 0.21875, 16376, -142, -507, , , , , 
0.347171, IMU_DATA, 0.634375, -1.155, 0.205625, 16362, -184, -519, , , , , 
0.351971, IMU_DATA, 0.660625, -1.14187, 0.07875, 16375, -136, -583, , , , , 
0.356771, IMU_DATA, 0.65625, -1.22937, -0.13125, 16353, -67, -650, , , , , 
0.361571, IMU_DATA, 0.55125, -1.25125, -0.23625, 16403, -72, -710, , , , , 
0.366371, IMU_DATA, 0.39375, -1.12437, -0.301875, 16373, 14, -714, , , , , 
0.371171, IMU_DATA, 0.363125, -0.97125, -0.406875, 16356, 114, -714, , , , , 
0.375971, IMU_DATA, 0.49, -0.853125, -0.48125, 16396, 126, -715, , , , , 
0.380771, IMU_DATA, 0.49875, -0.6825, -0.503125, 16386, 200, -726, , , , , 
0.385571, IMU_DATA, 0.525, -0.5075, -0.5075, 16395, 238, -700, , , , , 
0.390371, IMU_DATA, 0.6475, -0.424375, -0.520625, 16382, 260, -674, , , , , 
0.395171, IMU_DATA, 0.695625, -0.35875, -0.468125, 16354, 299, -648, , , , , 
0.399971, IMU_DATA, 0.800625, -0.406875, -0.336875, 16362, 233, -614, , , , , 
0.38541, IMG_DATA, , , , , , , , , , Image_00004 
0.404771, IMU_DATA, 0.7, -0.310625, -0.175, 16381, 180, -569, , , , , 
0.409571, IMU_DATA, 0.55125, -0.179375, -0.105, 16338, 219, -512, , , , , 
0.414371, IMU_DATA, 0.546875, -0.16625, -0.0525, 16369, 146, -508, , , , , 
0.419171, IMU_DATA, 0.546875, -0.179375, 0.11375, 16363, 86, -463, , , , , 
0.423971, IMU_DATA, 0.5425, -0.175, 0.25375, 16374, 17, -420, , , , , 
0.428771, IMU_DATA, 0.49, -0.135625, 0.32375, 16389, -46, -387, , , , , 
0.433571, IMU_DATA, 0.520625, -0.135625, 0.3675, 16364, -133, -363, , , , , 
0.438371, IMU_DATA, 0.546875, -0.179375, 0.371875, 16363, -178, -312, , , , , 
0.443171, IMU_DATA, 0.5425, -0.223125, 0.35875, 16380, -228, -282, , , , , 
0.447971, IMU_DATA, 0.51625, -0.196875, 0.3675, 16381, -296, -187, , , , , 
0.452771, IMU_DATA, 0.494375, -0.144375, 0.315, 16397, -285, -191, , , , , 
0.457571, IMU_DATA, 0.51625, -0.2625, 0.1925, 16402, -299, -141, , , , , 
0.462371, IMU_DATA, 0.49, -0.315, 0.056875, 16353, -291, -124, , , , , 
0.467171, IMU_DATA, 0.494375, -0.41125, -0.030625, 16396, -294, -77, , , , , 
0.471971, IMU_DATA, 0.538125, -0.625625, -0.135625, 16372, -237, -107, , , , , 
0.476771, IMU_DATA, 0.599375, -0.800625, -0.3325, 16346, -181, -111, , , , , 
0.481571, IMU_DATA, 0.634375, -0.993125, -0.49875, 16387, -100, -158, , , , , 
0.486371, IMU_DATA, 0.529375, -1.03687, -0.53375, 16382, -32, -193, , , , , 
0.491171, IMU_DATA, 0.46375, -1.00625, -0.55125, 16396, 32, -218, , , , , 
0.495971, IMU_DATA, 0.476875, -1.06312, -0.520625, 16396, 107, -286, , , , , 
0.500771, IMU_DATA, 0.56, -1.22062, -0.4725, 16382, 174, -320, , , , , 
0.505571, IMU_DATA, 0.511875, -1.21625, -0.433125, 16396, 215, -350, , , , , 
0.510371, IMU_DATA, 0.42875, -1.13312, -0.39375, 16374, 279, -369, , , , , 
0.481037, IMG_DATA, , , , , , , , , , Image_00005 
0.515171, IMU_DATA, 0.529375, -1.26875, -0.336875, 16369, 305, -414, , , , , 
0.519971, IMU_DATA, 0.608125, -1.45687, -0.2275, 16369, 294, -485, , , , , 
0.52477, IMU_DATA, 0.51625, -1.42187, -0.035, 16363, 304, -536, , , , , 
0.529571, IMU_DATA, 0.42, -1.3825, 0.153125, 16374, 322, -592, , , , , 
0.534371, IMU_DATA, 0.371875, -1.39562, 0.28875, 16382, 314, -649, , , , , 
0.539171, IMU_DATA, 0.389375, -1.36062, 0.37625, 16391, 279, -719, , , , , 
0.543971, IMU_DATA, 0.46375, -1.27312, 0.433125, 16368, 268, -738, , , , , 
0.548771, IMU_DATA, 0.450625, -1.1375, 0.49875, 16365, 231, -756, , , , , 
0.553571, IMU_DATA, 0.415625, -0.966875, 0.678125, 16383, 154, -780, , , , , 
0.558371, IMU_DATA, 0.398125, -0.81375, 0.879375, 16378, 45, -813, , , , , 
0.563171, IMU_DATA, 0.35875, -0.616875, 0.949375, 16352, -18, -806, , , , , 
0.567971, IMU_DATA, 0.468125, -0.5775, 0.844375, 16352, -78, -762, , , , , 
0.572771, IMU_DATA, 0.665, -0.56875, 0.765625, 16382, -179, -758, , , , , 
0.577571, IMU_DATA, 0.756875, -0.441875, 0.695625, 16401, -228, -738, , , , , 
0.582371, IMU_DATA, 0.818125, -0.4025, 0.511875, 16376, -282, -661, , , , , 
0.587171, IMU_DATA, 0.69125, -0.196875, 0.4025, 16402, -354, -624, , , , , 
0.591971, IMU_DATA, 0.573125, -0.0175, 0.27125, 16391, -402, -550, , , , , 
0.596771, IMU_DATA, 0.599375, -0.00875, 0.021875, 16414, -414, -527, , , , , 
0.601571, IMU_DATA, 0.564375, 0.06125, -0.27125, 16417, -409, -458, , , , , 
0.606371, IMU_DATA, 0.53375, 0.07875, -0.46375, 16367, -377, -370, , , , , 
0.611171, IMU_DATA, 0.49875, 0.056875, -0.60375, 16401, -381, -311, , , , , 
0.615971, IMU_DATA, 0.529375, -0.021875, -0.76125, 16368, -307, -273, , , , , 
0.581047, IMG_DATA, , , , , , , , , , Image_00006 
0.620771, IMU_DATA, 0.494375, 0.00875, -0.914375, 16351, -238, -231, , , , , 
0.625571, IMU_DATA, 0.468125, -0.039375, -1.02375, 16367, -205, -172, , , , , 
0.630371, IMU_DATA, 0.476875, -0.188125, -1.03687, 16378, -156, -156, , , , , 
0.635171, IMU_DATA, 0.503125, -0.3325, -1.0675, 16404, -76, -109, , , , , 
0.639971, IMU_DATA, 0.538125, -0.455, -1.12, 16396, 20, -115, , , , , 
0.644771, IMU_DATA, 0.51625, -0.60375, -1.14625, 16396, 93, -104, , , , , 
0.649571, IMU_DATA, 0.4725, -0.713125, -1.15937, 16358, 167, -110, , , , , 
0.654371, IMU_DATA, 0.441875, -0.79625, -1.08937, 16341, 259, -135, , , , , 
0.659171, IMU_DATA, 0.380625, -0.9275, -0.949375, 16339, 269, -152, , , , , 
0.663971, IMU_DATA, 0.3675, -1.04562, -0.765625, 16362, 297, -195, , , , , 
0.668771, IMU_DATA, 0.450625, -1.09375, -0.58625, 16365, 319, -238, , , , , 
0.673571, IMU_DATA, 0.49, -1.155, -0.455, 16366, 318, -294, , , , , 
0.678371, IMU_DATA, 0.406875, -1.21625, -0.354375, 16395, 323, -372, , , , , 
0.683171, IMU_DATA, 0.42875, -1.33875, -0.240625, 16422, 318, -416, , , , , 
0.687971, IMU_DATA, 0.56, -1.50062, -0.065625, 16393, 317, -485, , , , , 
0.692771, IMU_DATA, 0.67375, -1.505, 0.07875, 16364, 274, -591, , , , , 
0.697571, IMU_DATA, 0.695625, -1.39562, 0.161875, 16323, 278, -636, , , , , 
0.702371, IMU_DATA, 0.63875, -1.22062, 0.28, 16320, 122, -474, , , , , 
0.707171, IMU_DATA, 0.643125, -1.34312, 0.3675, 16316, 176, -802, , , , , 
0.711971, IMU_DATA, 0.63, -1.2775, 0.2625, 16300, 226, -715, , , , , 
0.716771, IMU_DATA, 0.5775, -1.01062, 0.4025, 16412, 10, -491, , , , , 
0.721571, IMU_DATA, 0.455, -0.9275, 0.6125, 16490, -33, -858, , , , , 
0.681038, IMG_DATA, , , , , , , , , , Image_00007 
0.726371, IMU_DATA, 0.55125, -1.01062, 0.564375, 16436, 48, -886, , , , , 
0.731171, IMU_DATA, 0.49875, -0.7175, 0.608125, 16419, -135, -631, , , , , 
0.73597, IMU_DATA, 0.406875, -0.546875, 0.6475, 16409, -139, -740, , , , , 
0.740771, IMU_DATA, 0.389375, -0.56875, 0.538125, 16348, -130, -828, , , , , 
0.745571, IMU_DATA, 0.380625, -0.485625, 0.51625, 16386, -288, -749, , , , , 
0.750371, IMU_DATA, 0.345625, -0.41125, 0.55125, 16424, -343, -782, , , , , 
0.755171, IMU_DATA, 0.34125, -0.2975, 0.35875, 16377, -248, -682, , , , , 
0.759971, IMU_DATA, 0.345625, -0.153125, 0.170625, 16375, -289, -627, , , , , 
0.764771, IMU_DATA, 0.293125, -0.013125, 0.126875, 16424, -361, -559, , , , , 
0.769571, IMU_DATA, 0.28875, 0.18375, 0.074375, 16399, -341, -482, , , , , 
0.774371, IMU_DATA, 0.2975, 0.196875, -0.100625, 16378, -281, -451, , , , , 
0.779171, IMU_DATA, 0.266875, 0.188125, -0.2275, 16403, -269, -300, , , , , 
0.783971, IMU_DATA, 0.315, 0.14, -0.34125, 16427, -249, -186, , , , , 
0.788771, IMU_DATA, 0.301875, 0.013125, -0.424375, 16434, -180, -205, , , , , 
0.793571, IMU_DATA, 0.32375, -0.161875, -0.5425, 16410, -176, -86, , , , , 
0.798371, IMU_DATA, 0.23625, -0.1225, -0.616875, 16390, -151, 68, , , , , 
0.803171, IMU_DATA, 0.214375, -0.196875, -0.713125, 16383, -82, -5, , , , , 
0.807971, IMU_DATA, 0.354375, -0.441875, -0.83125, 16342, -30, -72, , , , , 
0.812771, IMU_DATA, 0.643125, -0.599375, -0.861875, 16471, 3, -213, , , , , 
0.817571, IMU_DATA, 0.8225, -0.28875, -0.975625, 16154, 431, 625, , , , , 
0.822371, IMU_DATA, 0.459375, -0.315, -0.93625, 16222, 74, 416, , , , , 
0.827171, IMU_DATA, 0.573125, -1.14625, -0.424375, 16549, -99, -480, , , , , 
0.78104, IMG_DATA, , , , , , , , , , Image_00008 
0.831971, IMU_DATA, 1.09375, -1.22937, -0.56, 16108, 636, 268, , , , , 
0.836771, IMU_DATA, 0.6475, -1.01062, -0.914375, 16387, 130, 293, , , , , 
0.841571, IMU_DATA, 0.23625, -1.54437, -0.485625, 16549, 321, -83, , , , , 
0.846371, IMU_DATA, 0.643125, -2.02125, -0.651875, 16337, 749, -376, , , , , 
0.851171, IMU_DATA, 0.67375, -2.19187, -0.2975, 16767, 35, -820, , , , , 
0.855971, IMU_DATA, 0.09625, -1.9775, 0.1575, 16512, 189, -259, , , , , 
0.860771, IMU_DATA, 0.20125, -1.70187, -0.28875, 16158, 723, -425, , , , , 
0.865571, IMU_DATA, 0.6125, -1.88125, -0.363125, 16156, 366, -1041, , , , , 
0.870371, IMU_DATA, 0.686875, -1.95125, 0.49875, 16340, -75, -770, , , , , 
0.875171, IMU_DATA, 0.730625, -1.73687, 0.721875, 16159, 234, -995, , , , , 
0.879971, IMU_DATA, 0.844375, -1.53125, 0.525, 16350, 12, -1169, , , , , 
0.884771, IMU_DATA, 0.6825, -1.25125, 0.730625, 16376, -73, -768, , , , , 
0.889571, IMU_DATA, 0.56, -1.07625, 0.63, 16415, -6, -1127, , , , , 
0.894371, IMU_DATA, 0.643125, -1.01937, 0.6825, 16548, -293, -1276, , , , , 
0.899171, IMU_DATA, 0.49875, -0.74375, 0.8575, 16573, -507, -796, , , , , 
0.903971, IMU_DATA, 0.28875, -0.49875, 0.5425, 16461, -185, -952, , , , , 
0.908771, IMU_DATA, 0.529375, -0.529375, -0.039375, 16262, 2, -1181, , , , , 
0.913571, IMU_DATA, 0.56875, -0.371875, 0.18375, 16453, -518, -996, , , , , 
