Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
0.0, IMG_DATA, , , , , , , , , , Image_00000 
0.276226, IMU_DATA, 0.5425, -1.05875, 0.398125, 16475, 61, -360, , , , , 
0.281026, IMU_DATA, 0.5075, -0.8575, 0.5775, 16413, -52, -239, , , , , 
0.285826, IMU_DATA, 0.564375, -0.79625, 0.6475, 16380, -82, -265, , , , , 
0.290626, IMU_DATA, 0.65625, -0.875, 0.555625, 16311, -72, -340, , , , , 
0.295426, IMU_DATA, 0.669375, -0.835625, 0.60375, 16332, -219, -266, , , , , 
0.300226, IMU_DATA, 0.4375, -0.6825, 0.74375, 16306, -257, -258, , , , , 
0.305026, IMU_DATA, 0.398125, -0.56875, 0.695625, 16330, -259, -301, , , , , 
0.309826, IMU_DATA, 0.590625, -0.756875, 0.634375, 16373, -370, -254, , , , , 
0.314626, IMU_DATA, 0.555625, -0.791875, 0.704375, 16429, -472, -231, , , , , 
0.319426, IMU_DATA, 0.398125, -0.590625, 0.665, 16457, -498, -205, , , , , 
0.324226, IMU_DATA, 0.380625, -0.5425, 0.476875, 16479, -544, -179, , , , , 
0.305908, IMG_DATA, , , , , , , , , , Image_00003 
0.329026, IMU_DATA, 0.363125, -0.494375, 0.293125, 16474, -585, -164, , , , , 
0.333826, IMU_DATA, 0.406875, -0.42875, 0.074375, 16422, -541, -137, , , , , 
0.338626, IMU_DATA, 0.599375, -0.529375, -0.14875, 16352, -506, -119, , , , , 
0.343426, IMU_DATA, 0.63, -0.590625, -0.363125, 16309, -479, -120, , , , , 
0.348226, IMU_DATA, 0.5075, -0.5425, -0.5775, 16288, -396, -76, , , , , 
0.353026, IMU_DATA, 0.46375, -0.51625, -0.6825, 16314, -323, -114, , , , , 
0.357826, IMU_DATA, 0.48125, -0.65625, -0.70875, 16372, -327, -121, , , , , 
0.362626, IMU_DATA, 0.494375, -0.739375, -0.65625, 16425, -299, -115, , , , , 
0.367426, IMU_DATA, 0.485625, -0.7, -0.625625, 16471, -257, -90, , , , , 
0.372226, IMU_DATA, 0.441875, -0.669375, -0.69125, 16470, -204, -126, , , , , 
0.377026, IMU_DATA, 0.581875, -0.805, -0.783125, 16440, -154, -150, , , , , 
0.381826, IMU_DATA, 0.67375, -0.958125, -0.84, 16385, -65, -164, , , , , 
0.386626, IMU_DATA, 0.599375, -0.870625, -0.809375, 16310, 44, -185, , , , , 
0.391426, IMU_DATA, 0.4725, -0.730625, -0.5775, 16324, -9, -174, , , , , 
0.396226, IMU_DATA, 0.503125, -0.756875, -0.363125, 16305, 27, -167, , , , , 
0.401026, IMU_DATA, 0.599375, -0.809375, -0.275625, 16321, 47, -169, , , , , 
0.405826, IMU_DATA, 0.665, -0.86625, -0.196875, 16384, 91, -202, , , , , 
0.410626, IMU_DATA, 0.625625, -0.853125, -0.035, 16400, 15, -168, , , , , 
0.415426, IMU_DATA, 0.60375, -0.870625, 0.109375, 16423, 3, -170, , , , , 
0.420226, IMU_DATA, 0.56, -0.826875, 0.13125, 16432, 2, -186, , , , , 
0.425026, IMU_DATA, 0.608125, -0.86625, 0.135625, 16453, -39, -148, , , , , 
0.407806, IMG_DATA, , , , , , , , , , Image_00004 
0.429826, IMU_DATA, 0.6475, -0.896875, 0.118125, 16391, -26, -145, , , , , 
0.434626, IMU_DATA, 0.538125, -0.8225, 0.1225, 16373, -17, -163, , , , , 
0.439426, IMU_DATA, 0.459375, -0.748125, 0.2275, 16376, -98, -155, , , , , 
0.444226, IMU_DATA, 0.494375, -0.6475, 0.275625, 16333, -72, -178, , , , , 
0.449026, IMU_DATA, 0.48125, -0.7, 0.28875, 16333, -105, -160, , , , , 
0.453826, IMU_DATA, 0.503125, -0.79625, 0.345625, 16349, -170, -180, , , , , 
0.458626, IMU_DATA, 0.538125, -0.765625, 0.41125, 16374, -234, -226, , , , , 
0.463426, IMU_DATA, 0.5075, -0.765625, 0.385, 16407, -267, -207, , , , , 
0.468225, IMU_DATA, 0.494375, -0.7525, 0.284375, 16412, -247, -253, , , , , 
0.473026, IMU_DATA, 0.44625, -0.7525, 0.161875, 16416, -322, -245, , , , , 
0.477826, IMU_DATA, 0.503125, -0.800625, 0.048125, 16398, -334, -252, , , , , 
0.482625, IMU_DATA, 0.4725, -0.735, 0.021875, 16385, -336, -259, , , , , 
0.487426, IMU_DATA, 0.468125, -0.739375, -0.04375, 16369, -331, -270, , , , , 
0.492226, IMU_DATA, 0.494375, -0.7525, -0.118125, 16384, -386, -266, , , , , 
0.497025, IMU_DATA, 0.564375, -0.74375, -0.100625, 16395, -410, -270, , , , , 
0.501826, IMU_DATA, 0.573125, -0.686875, -0.21875, 16410, -418, -244, , , , , 
0.506626, IMU_DATA, 0.564375, -0.590625, -0.415625, 16381, -432, -231, , , , , 
0.511425, IMU_DATA, 0.5775, -0.503125, -0.5075, 16417, -406, -195, , , , , 
0.516226, IMU_DATA, 0.5425, -0.511875, -0.55125, 16419, -358, -214, , , , , 
0.521026, IMU_DATA, 0.468125, -0.503125, -0.669375, 16398, -372, -144, , , , , 
0.525826, IMU_DATA, 0.476875, -0.459375, -0.756875, 16317, -251, -86, , , , , 
0.530626, IMU_DATA, 0.529375, -0.529375, -0.704375, 16304, -134, -144, , , , , 
0.535426, IMU_DATA, 0.459375, -0.459375, -0.35, 16461, -476, -95, , , , , 
0.50589, IMG_DATA, , , , , , , , , , Image_00005 
0.540226, IMU_DATA, 0.380625, -0.35, -0.494375, 16469, -370, -85, , , , , 
0.545026, IMU_DATA, 0.4375, -0.406875, -1.37812, 16303, -2, -45, , , , , 
0.549825, IMU_DATA, 0.4375, -0.55125, -1.70187, 16332, -24, -17, , , , , 
0.554626, IMU_DATA, 0.42875, -0.7, -1.12437, 16414, -130, -43, , , , , 
0.559426, IMU_DATA, 0.455, -0.735, -0.6475, 16396, -43, -50, , , , , 
0.564225, IMU_DATA, 0.389375, -0.77, -0.608125, 16389, 14, -22, , , , , 
0.569026, IMU_DATA, 0.363125, -0.8225, -0.665, 16366, 56, -49, , , , , 
0.573826, IMU_DATA, 0.468125, -0.870625, -0.616875, 16397, 53, -100, , , , , 
0.578625, IMU_DATA, 0.49875, -0.879375, -0.564375, 16355, 128, -108, , , , , 
0.583426, IMU_DATA, 0.459375, -0.83125, -0.459375, 16344, 103, -119, , , , , 
0.588226, IMU_DATA, 0.42875, -0.7875, -0.249375, 16379, 23, -157, , , , , 
0.593025, IMU_DATA, 0.46375, -0.853125, -0.11375, 16374, 0, -192, , , , , 
0.597826, IMU_DATA, 0.5075, -0.91875, -0.105, 16384, 37, -208, , , , , 
0.602626, IMU_DATA, 0.485625, -0.861875, -0.04375, 16375, 3, -225, , , , , 
0.607425, IMU_DATA, 0.546875, -0.931875, 0.14, 16380, -50, -264, , , , , 
0.612226, IMU_DATA, 0.538125, -0.90125, 0.2975, 16384, -128, -306, , , , , 
0.617026, IMU_DATA, 0.5075, -0.875, 0.328125, 16395, -176, -308, , , , , 
0.621825, IMU_DATA, 0.35875, -0.6475, 0.301875, 16349, -158, -300, , , , , 
0.626626, IMU_DATA, 0.380625, -0.564375, 0.27125, 16344, -132, -295, , , , , 
0.631426, IMU_DATA, 0.5425, -0.65625, 0.42, 16392, -250, -307, , , , , 
0.636225, IMU_DATA, 0.5775, -0.665, 0.72625, 16442, -319, -300, , , , , 
0.641026, IMU_DATA, 0.58625, -0.669375, 0.7875, 16378, -301, -269, , , , , 
0.605896, IMG_DATA, , , , , , , , , , Image_00006 
0.645826, IMU_DATA, 0.599375, -0.678125, 0.748125, 16364, -316, -217, , , , , 
0.650625, IMU_DATA, 0.538125, -0.643125, 0.774375, 16403, -354, -206, , , , , 
0.655426, IMU_DATA, 0.53375, -0.58625, 0.7175, 16392, -371, -192, , , , , 
0.660226, IMU_DATA, 0.538125, -0.520625, 0.564375, 16356, -330, -118, , , , , 
0.665025, IMU_DATA, 0.44625, -0.555625, 0.3675, 16360, -316, -90, , , , , 
0.669826, IMU_DATA, 0.459375, -0.608125, 0.284375, 16389, -340, -79, , , , , 
0.674626, IMU_DATA, 0.4725, -0.63, 0.25375, 16382, -325, -80, , , , , 
0.679425, IMU_DATA, 0.42, -0.678125, 0.1925, 16402, -289, -65, , , , , 
0.684226, IMU_DATA, 0.389375, -0.7, 0.07875, 16410, -278, -93, , , , , 
0.689026, IMU_DATA, 0.455, -0.739375, -0.065625, 16442, -262, -99, , , , , 
0.693825, IMU_DATA, 0.49875, -0.735, -0.21, 16405, -228, -95, , , , , 
0.698626, IMU_DATA, 0.46375, -0.70875, -0.30625, 16383, -182, -120, , , , , 
0.703426, IMU_DATA, 0.468125, -0.774375, -0.354375, 16378, -164, -148, , , , , 
0.708225, IMU_DATA, 0.49875, -0.818125, -0.37625, 16367, -122, -142, , , , , 
0.713026, IMU_DATA, 0.678125, -0.8925, -0.4025, 16308, -112, -144, , , , , 
0.717826, IMU_DATA, 0.616875, -0.774375, -0.310625, 16355, -122, -184, , , , , 
