Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
17, IMG_DATA, , , , , , , , , , Image_00000 
4418.0, IMU_DATA, 80, -140, 4, 155, -907, 16379, , , , , 
9218.0, IMU_DATA, 82, -139, -6, 166, -879, 16360, , , , , 
14018.0, IMU_DATA, 89, -137, -25, 168, -901, 16349, , , , , 
18818.0, IMU_DATA, 96, -141, -17, 138, -893, 16337, , , , , 
23618.0, IMU_DATA, 110, -143, -13, 162, -873, 16343, , , , , 
28418.0, IMU_DATA, 118, -145, -21, 174, -882, 16335, , , , , 
33218.0, IMU_DATA, 121, -150, -14, 148, -878, 16311, , , , , 
38018.0, IMU_DATA, 125, -146, -8, 158, -860, 16301, , , , , 
42818.0, IMU_DATA, 106, -146, -10, 140, -857, 16301, , , , , 
47618.0, IMU_DATA, 96, -150, -13, 153, -870, 16309, , , , , 
52418.0, IMU_DATA, 104, -146, -11, 142, -866, 16296, , , , , 
57218.0, IMU_DATA, 93, -129, -13, 164, -849, 16296, , , , , 
62018.0, IMU_DATA, 101, -130, -25, 147, -868, 16301, , , , , 
66818.0, IMU_DATA, 93, -123, -15, 140, -863, 16286, , , , , 
71618.0, IMU_DATA, 92, -131, -5, 166, -867, 16325, , , , , 
76418.0, IMU_DATA, 91, -136, -12, 168, -866, 16320, , , , , 
81218.0, IMU_DATA, 93, -151, -22, 164, -866, 16312, , , , , 
86018.0, IMU_DATA, 86, -136, -20, 152, -875, 16335, , , , , 
79565, IMG_DATA, , , , , , , , , , Image_00001 
90818.0, IMU_DATA, 93, -134, -13, 151, -886, 16323, , , , , 
95618.0, IMU_DATA, 80, -124, -9, 166, -900, 16340, , , , , 
100418.0, IMU_DATA, 78, -136, -17, 138, -888, 16343, , , , , 
105218.0, IMU_DATA, 81, -138, -28, 155, -886, 16342, , , , , 
110018.0, IMU_DATA, 76, -145, -19, 154, -906, 16344, , , , , 
114818.0, IMU_DATA, 99, -155, -8, 152, -902, 16343, , , , , 
119618.0, IMU_DATA, 123, -161, -13, 157, -890, 16348, , , , , 
124418.0, IMU_DATA, 118, -163, -22, 150, -892, 16335, , , , , 
129218.0, IMU_DATA, 92, -155, -16, 162, -843, 16332, , , , , 
134018.0, IMU_DATA, 85, -147, -13, 159, -858, 16325, , , , , 
138818.0, IMU_DATA, 87, -138, -23, 158, -847, 16350, , , , , 
143618.0, IMU_DATA, 90, -119, -21, 176, -854, 16349, , , , , 
148418.0, IMU_DATA, 101, -117, -14, 149, -853, 16332, , , , , 
153218.0, IMU_DATA, 104, -126, -10, 156, -833, 16346, , , , , 
158018.0, IMU_DATA, 111, -150, -15, 147, -838, 16341, , , , , 
162818.0, IMU_DATA, 105, -155, -26, 164, -851, 16338, , , , , 
167618.0, IMU_DATA, 89, -121, -17, 162, -879, 16334, , , , , 
172418.0, IMU_DATA, 85, -124, -8, 142, -874, 16346, , , , , 
177218.0, IMU_DATA, 102, -170, -8, 152, -880, 16346, , , , , 
182018.0, IMU_DATA, 88, -162, -17, 166, -884, 16355, , , , , 
186818.0, IMU_DATA, 94, -139, -18, 157, -890, 16367, , , , , 
191618.0, IMU_DATA, 92, -130, -19, 138, -904, 16360, , , , , 
179566, IMG_DATA, , , , , , , , , , Image_00002 
196418.0, IMU_DATA, 103, -136, -17, 159, -908, 16364, , , , , 
201218.0, IMU_DATA, 114, -135, -15, 156, -883, 16344, , , , , 
206018.0, IMU_DATA, 110, -137, -26, 158, -909, 16358, , , , , 
210818.0, IMU_DATA, 117, -140, -25, 144, -878, 16334, , , , , 
215618.0, IMU_DATA, 136, -152, -5, 150, -889, 16368, , , , , 
220418.0, IMU_DATA, 148, -150, -7, 160, -874, 16356, , , , , 
225218.0, IMU_DATA, 129, -149, -17, 148, -874, 16332, , , , , 
230018.0, IMU_DATA, 102, -155, -22, 157, -862, 16362, , , , , 
234818.0, IMU_DATA, 83, -154, -25, 146, -880, 16348, , , , , 
239618.0, IMU_DATA, 91, -146, -26, 138, -862, 16349, , , , , 
244418.0, IMU_DATA, 91, -151, -35, 159, -877, 16349, , , , , 
249218.0, IMU_DATA, 80, -141, -27, 154, -876, 16330, , , , , 
254018.0, IMU_DATA, 104, -144, -22, 159, -864, 16352, , , , , 
258818.0, IMU_DATA, 113, -128, -16, 153, -866, 16359, , , , , 
263618.0, IMU_DATA, 99, -116, -12, 173, -868, 16337, , , , , 
268418.0, IMU_DATA, 82, -113, -11, 192, -874, 16351, , , , , 
273218.0, IMU_DATA, 72, -120, -18, 158, -883, 16365, , , , , 
278018.0, IMU_DATA, 92, -149, -20, 153, -887, 16352, , , , , 
