Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
414970.0, IMU_DATA, 63, -118, 0, 310, -732, -16444, , , , , 
419770.0, IMU_DATA, 72, -104, 4, 296, -739, -16440, , , , , 
424570.0, IMU_DATA, 89, -110, 3, 345, -730, -16440, , , , , 
429370.0, IMU_DATA, 93, -119, 2, 311, -742, -16451, , , , , 
434170.0, IMU_DATA, 92, -134, -3, 300, -744, -16453, , , , , 
438970.0, IMU_DATA, 106, -164, -12, 302, -757, -16440, , , , , 
443770.0, IMU_DATA, 128, -187, -20, 342, -722, -16449, , , , , 
448570.0, IMU_DATA, 112, -166, -27, 313, -738, -16455, , , , , 
453370.0, IMU_DATA, 103, -150, -27, 306, -732, -16460, , , , , 
458170.0, IMU_DATA, 111, -145, -27, 304, -731, -16458, , , , , 
434713, IMG_DATA, , , , , , , , , , Image_00005 
462970.0, IMU_DATA, 104, -134, -25, 308, -739, -16445, , , , , 
467770.0, IMU_DATA, 103, -135, -12, 305, -725, -16457, , , , , 
472570.0, IMU_DATA, 98, -152, 3, 320, -715, -16447, , , , , 
477370.0, IMU_DATA, 101, -161, 2, 311, -738, -16448, , , , , 
482170.0, IMU_DATA, 93, -163, -8, 305, -726, -16450, , , , , 
486970.0, IMU_DATA, 89, -148, -21, 311, -715, -16443, , , , , 
491770.0, IMU_DATA, 110, -139, -30, 305, -740, -16455, , , , , 
496570.0, IMU_DATA, 114, -142, -24, 315, -736, -16444, , , , , 
501370.0, IMU_DATA, 98, -148, -13, 323, -742, -16444, , , , , 
506170.0, IMU_DATA, 98, -163, -16, 320, -727, -16444, , , , , 
510970.0, IMU_DATA, 105, -159, -17, 295, -737, -16450, , , , , 
515770.0, IMU_DATA, 102, -142, -18, 306, -764, -16459, , , , , 
520570.0, IMU_DATA, 104, -129, -16, 296, -715, -16440, , , , , 
525370.0, IMU_DATA, 108, -139, -10, 304, -759, -16435, , , , , 
530170.0, IMU_DATA, 128, -172, -10, 313, -733, -16449, , , , , 
534970.0, IMU_DATA, 131, -171, -5, 323, -740, -16434, , , , , 
539770.0, IMU_DATA, 135, -186, -10, 322, -720, -16429, , , , , 
544570.0, IMU_DATA, 110, -145, -6, 305, -728, -16441, , , , , 
549370.0, IMU_DATA, 87, -109, -7, 311, -730, -16423, , , , , 
554170.0, IMU_DATA, 70, -112, -12, 302, -743, -16444, , , , , 
558970.0, IMU_DATA, 83, -127, -12, 302, -726, -16459, , , , , 
563770.0, IMU_DATA, 93, -129, -9, 311, -723, -16446, , , , , 
534730, IMG_DATA, , , , , , , , , , Image_00006 
568570.0, IMU_DATA, 86, -127, -12, 304, -745, -16407, , , , , 
573370.0, IMU_DATA, 95, -126, -11, 304, -727, -16435, , , , , 
578170.0, IMU_DATA, 91, -121, -16, 308, -726, -16454, , , , , 
582970.0, IMU_DATA, 82, -134, -24, 310, -733, -16464, , , , , 
587770.0, IMU_DATA, 96, -157, -17, 307, -732, -16427, , , , , 
592570.0, IMU_DATA, 127, -165, -3, 318, -716, -16424, , , , , 
597370.0, IMU_DATA, 134, -162, 1, 310, -736, -16460, , , , , 
602170.0, IMU_DATA, 118, -158, -11, 308, -713, -16444, , , , , 
606970.0, IMU_DATA, 105, -153, -22, 297, -727, -16440, , , , , 
611770.0, IMU_DATA, 88, -148, -20, 311, -736, -16466, , , , , 
616570.0, IMU_DATA, 75, -122, -11, 302, -736, -16459, , , , , 
621370.0, IMU_DATA, 81, -126, -8, 309, -746, -16463, , , , , 
626170.0, IMU_DATA, 88, -132, -11, 308, -734, -16460, , , , , 
630970.0, IMU_DATA, 82, -120, -9, 299, -745, -16443, , , , , 
635770.0, IMU_DATA, 76, -123, -8, 318, -750, -16434, , , , , 
640570.0, IMU_DATA, 91, -133, -16, 300, -760, -16444, , , , , 
645370.0, IMU_DATA, 91, -135, -21, 321, -742, -16437, , , , , 
650170.0, IMU_DATA, 97, -148, -24, 306, -728, -16450, , , , , 
654970.0, IMU_DATA, 132, -174, -35, 302, -733, -16443, , , , , 
659770.0, IMU_DATA, 112, -148, -29, 312, -723, -16448, , , , , 
664570.0, IMU_DATA, 92, -130, -12, 330, -708, -16447, , , , , 
669370.0, IMU_DATA, 93, -132, -1, 295, -730, -16418, , , , , 
634705, IMG_DATA, , , , , , , , , , Image_00007 
674170.0, IMU_DATA, 96, -138, -4, 300, -730, -16440, , , , , 
678970.0, IMU_DATA, 98, -143, -2, 334, -720, -16443, , , , , 
683770.0, IMU_DATA, 99, -157, -4, 306, -726, -16458, , , , , 
688570.0, IMU_DATA, 98, -156, -7, 297, -718, -16441, , , , , 
693370.0, IMU_DATA, 85, -155, -5, 312, -737, -16456, , , , , 
698170.0, IMU_DATA, 84, -152, -15, 305, -735, -16433, , , , , 
702970.0, IMU_DATA, 96, -151, -23, 312, -739, -16445, , , , , 
707770.0, IMU_DATA, 105, -158, -28, 284, -736, -16439, , , , , 
712570.0, IMU_DATA, 118, -165, -26, 310, -742, -16436, , , , , 
717370.0, IMU_DATA, 121, -155, -20, 319, -752, -16451, , , , , 
722170.0, IMU_DATA, 115, -160, -21, 297, -763, -16445, , , , , 
726970.0, IMU_DATA, 87, -140, -25, 302, -733, -16441, , , , , 
731770.0, IMU_DATA, 81, -108, -20, 305, -755, -16448, , , , , 
736570.0, IMU_DATA, 82, -86, -11, 305, -753, -16452, , , , , 
741370.0, IMU_DATA, 79, -102, -10, 308, -740, -16445, , , , , 
746170.0, IMU_DATA, 85, -132, -7, 323, -726, -16426, , , , , 
750970.0, IMU_DATA, 103, -139, -3, 325, -732, -16441, , , , , 
755770.0, IMU_DATA, 99, -130, -13, 299, -725, -16439, , , , , 
760570.0, IMU_DATA, 96, -134, -22, 294, -726, -16462, , , , , 
765370.0, IMU_DATA, 100, -139, -17, 300, -731, -16464, , , , , 
770170.0, IMU_DATA, 124, -158, -16, 291, -735, -16455, , , , , 
774970.0, IMU_DATA, 114, -153, -12, 295, -709, -16472, , , , , 
734713, IMG_DATA, , , , , , , , , , Image_00008 
779770.0, IMU_DATA, 87, -131, -10, 320, -713, -16450, , , , , 
784570.0, IMU_DATA, 87, -135, -12, 299, -740, -16456, , , , , 
789370.0, IMU_DATA, 93, -148, -19, 305, -741, -16462, , , , , 
794170.0, IMU_DATA, 104, -145, -22, 308, -738, -16431, , , , , 
798970.0, IMU_DATA, 109, -143, -14, 304, -738, -16456, , , , , 
803770.0, IMU_DATA, 104, -156, -13, 293, -730, -16447, , , , , 
808570.0, IMU_DATA, 104, -163, -20, 323, -728, -16442, , , , , 
813370.0, IMU_DATA, 101, -167, -24, 298, -741, -16452, , , , , 
818170.0, IMU_DATA, 85, -158, -24, 306, -734, -16434, , , , , 
822970.0, IMU_DATA, 73, -137, -23, 321, -741, -16425, , , , , 
827770.0, IMU_DATA, 79, -126, -16, 316, -740, -16434, , , , , 
832570.0, IMU_DATA, 83, -136, -15, 299, -745, -16440, , , , , 
837370.0, IMU_DATA, 110, -160, -20, 287, -731, -16432, , , , , 
842170.0, IMU_DATA, 108, -148, -16, 298, -736, -16455, , , , , 
846970.0, IMU_DATA, 105, -156, -10, 308, -728, -16457, , , , , 
851770.0, IMU_DATA, 108, -170, -3, 303, -740, -16429, , , , , 
856570.0, IMU_DATA, 112, -158, -8, 325, -741, -16432, , , , , 
861370.0, IMU_DATA, 103, -151, -17, 317, -712, -16453, , , , , 
866170.0, IMU_DATA, 114, -168, -23, 316, -749, -16432, , , , , 
870970.0, IMU_DATA, 100, -137, -20, 339, -742, -16458, , , , , 
875770.0, IMU_DATA, 79, -112, -16, 322, -717, -16446, , , , , 
880570.0, IMU_DATA, 76, -112, -8, 328, -715, -16452, , , , , 
834724, IMG_DATA, , , , , , , , , , Image_00009 
885370.0, IMU_DATA, 78, -127, -8, 308, -732, -16441, , , , , 
890170.0, IMU_DATA, 70, -135, -2, 318, -736, -16437, , , , , 
894970.0, IMU_DATA, 89, -157, -6, 306, -735, -16462, , , , , 
899770.0, IMU_DATA, 100, -158, -9, 279, -739, -16447, , , , , 
904570.0, IMU_DATA, 110, -161, -8, 284, -744, -16443, , , , , 
909370.0, IMU_DATA, 121, -170, -7, 300, -747, -16445, , , , , 
914170.0, IMU_DATA, 132, -152, -20, 287, -730, -16448, , , , , 
918970.0, IMU_DATA, 132, -143, -28, 311, -742, -16424, , , , , 
923770.0, IMU_DATA, 123, -152, -21, 292, -718, -16428, , , , , 
928570.0, IMU_DATA, 114, -153, -12, 310, -732, -16451, , , , , 
933370.0, IMU_DATA, 98, -147, -21, 301, -738, -16453, , , , , 
938170.0, IMU_DATA, 77, -127, -28, 313, -739, -16446, , , , , 
942970.0, IMU_DATA, 73, -124, -37, 312, -726, -16445, , , , , 
947770.0, IMU_DATA, 79, -124, -32, 337, -729, -16465, , , , , 
952570.0, IMU_DATA, 86, -128, -19, 322, -713, -16435, , , , , 
957370.0, IMU_DATA, 82, -124, -8, 301, -707, -16447, , , , , 
962170.0, IMU_DATA, 79, -116, -6, 305, -723, -16457, , , , , 
966970.0, IMU_DATA, 74, -112, -4, 303, -726, -16447, , , , , 
971770.0, IMU_DATA, 77, -117, -1, 299, -725, -16438, , , , , 
976570.0, IMU_DATA, 91, -117, -5, 320, -747, -16429, , , , , 
981370.0, IMU_DATA, 99, -124, -9, 296, -722, -16437, , , , , 
986170.0, IMU_DATA, 100, -128, -8, 300, -736, -16428, , , , , 
934722, IMG_DATA, , , , , , , , , , Image_00010 
990970.0, IMU_DATA, 95, -132, -22, 302, -724, -16421, , , , , 
995770.0, IMU_DATA, 101, -138, -29, 300, -739, -16437, , , , , 
1.00057e+06, IMU_DATA, 100, -151, -23, 298, -748, -16453, , , , , 
1.00537e+06, IMU_DATA, 109, -156, -21, 306, -750, -16453, , , , , 
1.01017e+06, IMU_DATA, 118, -162, -18, 304, -738, -16443, , , , , 
1.01497e+06, IMU_DATA, 115, -159, -8, 314, -730, -16451, , , , , 
1.01977e+06, IMU_DATA, 111, -152, -10, 325, -737, -16442, , , , , 
1.02457e+06, IMU_DATA, 102, -133, -18, 302, -738, -16426, , , , , 
1.02937e+06, IMU_DATA, 86, -121, -16, 308, -722, -16438, , , , , 
1.03417e+06, IMU_DATA, 77, -130, -15, 298, -754, -16428, , , , , 
1.03897e+06, IMU_DATA, 94, -150, -22, 305, -710, -16450, , , , , 
1.04377e+06, IMU_DATA, 106, -148, -28, 295, -731, -16445, , , , , 
1.04857e+06, IMU_DATA, 108, -146, -26, 315, -730, -16446, , , , , 
1.05337e+06, IMU_DATA, 117, -147, -28, 307, -732, -16430, , , , , 
1.05817e+06, IMU_DATA, 107, -136, -23, 303, -709, -16444, , , , , 
1.06297e+06, IMU_DATA, 91, -124, -12, 342, -713, -16448, , , , , 
1.06777e+06, IMU_DATA, 102, -146, -15, 313, -733, -16424, , , , , 
1.07257e+06, IMU_DATA, 110, -165, -23, 322, -717, -16440, , , , , 
1.07737e+06, IMU_DATA, 105, -151, -20, 307, -734, -16443, , , , , 
1.08217e+06, IMU_DATA, 79, -131, -13, 305, -732, -16422, , , , , 
1.08697e+06, IMU_DATA, 53, -123, -7, 285, -727, -16448, , , , , 
1.09177e+06, IMU_DATA, 71, -124, -17, 307, -759, -16439, , , , , 
1034703, IMG_DATA, , , , , , , , , , Image_00011 
1.09657e+06, IMU_DATA, 95, -121, -22, 310, -747, -16441, , , , , 
1.10137e+06, IMU_DATA, 90, -128, -24, 314, -728, -16445, , , , , 
1.10617e+06, IMU_DATA, 98, -140, -26, 331, -745, -16437, , , , , 
1.11097e+06, IMU_DATA, 103, -149, -22, 312, -728, -16445, , , , , 
1.11577e+06, IMU_DATA, 96, -139, -24, 315, -726, -16438, , , , , 
1.12057e+06, IMU_DATA, 95, -145, -26, 309, -735, -16442, , , , , 
1.12537e+06, IMU_DATA, 102, -161, -18, 321, -717, -16431, , , , , 
1.13017e+06, IMU_DATA, 108, -163, -14, 305, -724, -16416, , , , , 
1.13497e+06, IMU_DATA, 101, -152, -12, 313, -723, -16438, , , , , 
1.13977e+06, IMU_DATA, 90, -138, -17, 297, -736, -16424, , , , , 
1.14457e+06, IMU_DATA, 96, -155, -17, 312, -710, -16444, , , , , 
1.14937e+06, IMU_DATA, 100, -165, -8, 321, -711, -16436, , , , , 
1.15417e+06, IMU_DATA, 96, -152, -6, 305, -723, -16424, , , , , 
1.15897e+06, IMU_DATA, 82, -132, -3, 300, -734, -16432, , , , , 
1.16377e+06, IMU_DATA, 87, -124, -1, 309, -735, -16433, , , , , 
1.16857e+06, IMU_DATA, 97, -134, -7, 315, -741, -16438, , , , , 
1.17337e+06, IMU_DATA, 114, -147, -17, 315, -730, -16459, , , , , 
1.17817e+06, IMU_DATA, 107, -150, -29, 312, -734, -16452, , , , , 
1.18297e+06, IMU_DATA, 87, -131, -13, 334, -747, -16436, , , , , 
1.18777e+06, IMU_DATA, 88, -130, -13, 301, -735, -16443, , , , , 
1.19257e+06, IMU_DATA, 89, -142, -26, 341, -732, -16443, , , , , 
1.19737e+06, IMU_DATA, 87, -140, -27, 312, -740, -16446, , , , , 
1134707, IMG_DATA, , , , , , , , , , Image_00012 
1.20217e+06, IMU_DATA, 84, -135, -15, 297, -749, -16436, , , , , 
1.20697e+06, IMU_DATA, 90, -141, -15, 316, -737, -16437, , , , , 
1.21177e+06, IMU_DATA, 100, -145, -16, 313, -745, -16443, , , , , 
1.21657e+06, IMU_DATA, 107, -144, -13, 315, -719, -16423, , , , , 
1.22137e+06, IMU_DATA, 115, -148, -14, 299, -714, -16441, , , , , 
1.22617e+06, IMU_DATA, 102, -152, -11, 289, -721, -16444, , , , , 
1.23097e+06, IMU_DATA, 106, -150, -17, 285, -725, -16450, , , , , 
1.23577e+06, IMU_DATA, 120, -139, -16, 305, -724, -16440, , , , , 
1.24057e+06, IMU_DATA, 120, -146, -13, 324, -731, -16430, , , , , 
1.24537e+06, IMU_DATA, 104, -152, -13, 314, -734, -16446, , , , , 
1.25017e+06, IMU_DATA, 112, -161, -16, 304, -745, -16426, , , , , 
1.25497e+06, IMU_DATA, 126, -178, -28, 298, -754, -16449, , , , , 
1.25977e+06, IMU_DATA, 131, -194, -33, 318, -713, -16452, , , , , 
1.26457e+06, IMU_DATA, 97, -157, -15, 306, -741, -16432, , , , , 
1.26937e+06, IMU_DATA, 80, -142, -9, 316, -704, -16441, , , , , 
1.27417e+06, IMU_DATA, 89, -137, -21, 312, -721, -16450, , , , , 
1.27897e+06, IMU_DATA, 103, -145, -32, 303, -741, -16462, , , , , 
1.28377e+06, IMU_DATA, 101, -158, -24, 278, -749, -16448, , , , , 
1.28857e+06, IMU_DATA, 114, -165, -23, 294, -734, -16448, , , , , 
1.29337e+06, IMU_DATA, 126, -162, -30, 296, -758, -16447, , , , , 
1.29817e+06, IMU_DATA, 118, -162, -28, 309, -726, -16437, , , , , 
1.30297e+06, IMU_DATA, 103, -157, -24, 321, -736, -16463, , , , , 
1234702, IMG_DATA, , , , , , , , , , Image_00013 
1.30777e+06, IMU_DATA, 104, -139, -10, 314, -725, -16463, , , , , 
1.31257e+06, IMU_DATA, 113, -135, -9, 306, -723, -16422, , , , , 
1.31737e+06, IMU_DATA, 125, -152, -20, 296, -734, -16444, , , , , 
1.32217e+06, IMU_DATA, 123, -162, -18, 308, -732, -16442, , , , , 
1.32697e+06, IMU_DATA, 123, -157, -19, 329, -738, -16432, , , , , 
1.33177e+06, IMU_DATA, 110, -134, -22, 321, -742, -16424, , , , , 
1.33657e+06, IMU_DATA, 90, -126, -12, 314, -737, -16420, , , , , 
1.34137e+06, IMU_DATA, 97, -154, -9, 301, -718, -16430, , , , , 
1.34617e+06, IMU_DATA, 101, -154, -19, 293, -729, -16419, , , , , 
1.35097e+06, IMU_DATA, 98, -152, -19, 292, -739, -16421, , , , , 
1.35577e+06, IMU_DATA, 109, -174, -11, 314, -728, -16442, , , , , 
1.36057e+06, IMU_DATA, 114, -177, -12, 312, -762, -16439, , , , , 
1.36537e+06, IMU_DATA, 90, -153, -19, 324, -710, -16471, , , , , 
1.37017e+06, IMU_DATA, 69, -140, -20, 301, -730, -16445, , , , , 
1.37497e+06, IMU_DATA, 64, -148, -29, 305, -717, -16449, , , , , 
1.37977e+06, IMU_DATA, 68, -141, -26, 308, -731, -16464, , , , , 
1.38457e+06, IMU_DATA, 85, -135, -26, 320, -719, -16450, , , , , 
1.38937e+06, IMU_DATA, 111, -152, -26, 304, -734, -16454, , , , , 
1.39417e+06, IMU_DATA, 106, -150, -13, 317, -730, -16470, , , , , 
1.39897e+06, IMU_DATA, 88, -142, -8, 296, -742, -16435, , , , , 
1.40377e+06, IMU_DATA, 81, -151, -11, 300, -747, -16430, , , , , 
1.40857e+06, IMU_DATA, 92, -164, -21, 325, -751, -16414, , , , , 
1334709, IMG_DATA, , , , , , , , , , Image_00014 
1.41337e+06, IMU_DATA, 95, -146, -14, 321, -723, -16430, , , , , 
1.41817e+06, IMU_DATA, 100, -151, -10, 310, -741, -16434, , , , , 
1.42297e+06, IMU_DATA, 102, -162, -14, 340, -732, -16443, , , , , 
1.42777e+06, IMU_DATA, 98, -165, -19, 309, -729, -16423, , , , , 
1.43257e+06, IMU_DATA, 101, -166, -17, 293, -731, -16440, , , , , 
1.43737e+06, IMU_DATA, 93, -168, -10, 299, -717, -16447, , , , , 
1.44217e+06, IMU_DATA, 97, -147, -7, 309, -732, -16441, , , , , 
