Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
17, IMG_DATA, , , , , , , , , , Image_00000 
33618.0, IMU_DATA, 219, -165, -171, -16268, 163, -700, , , , , 
38418.0, IMU_DATA, 191, -188, -136, -16258, 133, -721, , , , , 
43218.0, IMU_DATA, 104, -179, -98, -16265, 150, -722, , , , , 
48018.0, IMU_DATA, 62, -158, -88, -16257, 128, -726, , , , , 
52818.0, IMU_DATA, 68, -151, -90, -16271, 125, -721, , , , , 
57618.0, IMU_DATA, 80, -152, -92, -16276, 109, -713, , , , , 
62418.0, IMU_DATA, 75, -137, -77, -16267, 127, -716, , , , , 
67218.0, IMU_DATA, 90, -130, -32, -16283, 141, -694, , , , , 
72018.0, IMU_DATA, 113, -155, -4, -16272, 126, -705, , , , , 
76818.0, IMU_DATA, 98, -152, 14, -16275, 121, -716, , , , , 
81618.0, IMU_DATA, 92, -135, 39, -16276, 128, -694, , , , , 
86418.0, IMU_DATA, 89, -138, 61, -16276, 113, -706, , , , , 
91218.0, IMU_DATA, 81, -134, 67, -16279, 124, -713, , , , , 
96018.0, IMU_DATA, 85, -119, 91, -16260, 139, -714, , , , , 
100818.0, IMU_DATA, 86, -109, 115, -16285, 129, -721, , , , , 
105618.0, IMU_DATA, 93, -117, 121, -16260, 139, -714, , , , , 
110418.0, IMU_DATA, 94, -127, 111, -16279, 147, -727, , , , , 
115218.0, IMU_DATA, 104, -113, 111, -16254, 155, -733, , , , , 
120018.0, IMU_DATA, 113, -94, 97, -16261, 170, -744, , , , , 
124818.0, IMU_DATA, 111, -103, 76, -16253, 171, -728, , , , , 
129618.0, IMU_DATA, 92, -120, 62, -16258, 172, -710, , , , , 
122518, IMG_DATA, , , , , , , , , , Image_00001 
134418.0, IMU_DATA, 88, -96, 52, -16282, 168, -730, , , , , 
139218.0, IMU_DATA, 101, -74, 38, -16271, 183, -729, , , , , 
144018.0, IMU_DATA, 111, -81, 18, -16255, 175, -722, , , , , 
148818.0, IMU_DATA, 115, -97, -3, -16246, 156, -718, , , , , 
153618.0, IMU_DATA, 106, -113, -15, -16268, 161, -746, , , , , 
158418.0, IMU_DATA, 90, -120, -29, -16252, 146, -737, , , , , 
163218.0, IMU_DATA, 81, -131, -44, -16253, 165, -720, , , , , 
168018.0, IMU_DATA, 95, -145, -44, -16264, 164, -725, , , , , 
172818.0, IMU_DATA, 94, -140, -34, -16265, 174, -726, , , , , 
177618.0, IMU_DATA, 70, -135, -31, -16256, 170, -713, , , , , 
182418.0, IMU_DATA, 71, -142, -29, -16257, 166, -725, , , , , 
187218.0, IMU_DATA, 83, -142, -35, -16256, 150, -699, , , , , 
192018.0, IMU_DATA, 90, -141, -36, -16262, 147, -718, , , , , 
196818.0, IMU_DATA, 94, -145, -29, -16260, 148, -712, , , , , 
201618.0, IMU_DATA, 81, -129, -13, -16269, 169, -723, , , , , 
206418.0, IMU_DATA, 79, -112, -5, -16260, 156, -728, , , , , 
211218.0, IMU_DATA, 81, -98, 6, -16288, 141, -714, , , , , 
216018.0, IMU_DATA, 89, -100, 22, -16277, 128, -706, , , , , 
220818.0, IMU_DATA, 88, -106, 37, -16266, 140, -738, , , , , 
225618.0, IMU_DATA, 88, -110, 44, -16280, 160, -724, , , , , 
230418.0, IMU_DATA, 95, -104, 38, -16264, 160, -705, , , , , 
235218.0, IMU_DATA, 117, -126, 26, -16283, 171, -736, , , , , 
222530, IMG_DATA, , , , , , , , , , Image_00002 
240018.0, IMU_DATA, 119, -112, 21, -16276, 177, -730, , , , , 
244818.0, IMU_DATA, 115, -90, 18, -16271, 168, -754, , , , , 
249618.0, IMU_DATA, 115, -89, 15, -16247, 152, -745, , , , , 
254418.0, IMU_DATA, 121, -105, 14, -16242, 169, -732, , , , , 
259218.0, IMU_DATA, 113, -122, 25, -16270, 167, -732, , , , , 
264018.0, IMU_DATA, 109, -130, 29, -16270, 176, -732, , , , , 
268818.0, IMU_DATA, 102, -134, 13, -16274, 168, -754, , , , , 
273618.0, IMU_DATA, 98, -138, -6, -16276, 149, -744, , , , , 
278418.0, IMU_DATA, 99, -143, -9, -16254, 156, -742, , , , , 
283218.0, IMU_DATA, 91, -139, -5, -16285, 146, -745, , , , , 
288018.0, IMU_DATA, 89, -122, -4, -16251, 187, -760, , , , , 
292818.0, IMU_DATA, 84, -113, -5, -16260, 167, -738, , , , , 
297618.0, IMU_DATA, 81, -119, -3, -16276, 160, -709, , , , , 
302418.0, IMU_DATA, 70, -119, -3, -16267, 188, -730, , , , , 
307218.0, IMU_DATA, 57, -125, -12, -16266, 185, -708, , , , , 
312018.0, IMU_DATA, 59, -139, -25, -16262, 158, -720, , , , , 
316818.0, IMU_DATA, 78, -136, -36, -16256, 165, -736, , , , , 
321618.0, IMU_DATA, 96, -148, -25, -16250, 184, -704, , , , , 
326418.0, IMU_DATA, 108, -154, -12, -16291, 159, -710, , , , , 
331218.0, IMU_DATA, 114, -129, 2, -16269, 164, -711, , , , , 
336018.0, IMU_DATA, 138, -134, 24, -16263, 174, -721, , , , , 
340818.0, IMU_DATA, 154, -156, 39, -16259, 203, -722, , , , , 
322532, IMG_DATA, , , , , , , , , , Image_00003 
345618.0, IMU_DATA, 125, -126, 39, -16237, 184, -718, , , , , 
350418.0, IMU_DATA, 102, -105, 19, -16242, 194, -738, , , , , 
355218.0, IMU_DATA, 102, -101, 1, -16258, 189, -736, , , , , 
360018.0, IMU_DATA, 92, -101, -8, -16274, 184, -720, , , , , 
364818.0, IMU_DATA, 81, -113, -13, -16294, 166, -727, , , , , 
369618.0, IMU_DATA, 91, -130, -17, -16251, 162, -720, , , , , 
