Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
16, IMG_DATA, , , , , , , , , , Image_00000 
371458.0, IMU_DATA, 111, -156, -13, 1374, 16228, -756, , , , , 
376258.0, IMU_DATA, 95, -145, -12, 1355, 16233, -742, , , , , 
381058.0, IMU_DATA, 90, -128, -14, 1346, 16235, -733, , , , , 
385858.0, IMU_DATA, 97, -132, -20, 1362, 16220, -747, , , , , 
390658.0, IMU_DATA, 101, -144, -23, 1330, 16209, -732, , , , , 
395458.0, IMU_DATA, 102, -157, -20, 1371, 16239, -756, , , , , 
400258.0, IMU_DATA, 128, -175, -30, 1350, 16216, -755, , , , , 
405058.0, IMU_DATA, 102, -140, -28, 1369, 16212, -761, , , , , 
409858.0, IMU_DATA, 86, -126, -10, 1346, 16215, -764, , , , , 
414658.0, IMU_DATA, 100, -130, -8, 1367, 16217, -743, , , , , 
419458.0, IMU_DATA, 104, -142, -10, 1325, 16227, -774, , , , , 
424258.0, IMU_DATA, 92, -133, -28, 1364, 16212, -764, , , , , 
429058.0, IMU_DATA, 91, -117, -29, 1370, 16232, -756, , , , , 
433858.0, IMU_DATA, 92, -104, -11, 1344, 16223, -744, , , , , 
415680, IMG_DATA, , , , , , , , , , Image_00004 
438658.0, IMU_DATA, 85, -105, -6, 1355, 16225, -758, , , , , 
443458.0, IMU_DATA, 83, -127, -10, 1378, 16222, -733, , , , , 
448258.0, IMU_DATA, 102, -154, -8, 1360, 16219, -734, , , , , 
453058.0, IMU_DATA, 103, -160, -10, 1359, 16211, -755, , , , , 
457858.0, IMU_DATA, 100, -143, -12, 1362, 16219, -741, , , , , 
462658.0, IMU_DATA, 99, -139, -15, 1359, 16215, -761, , , , , 
467458.0, IMU_DATA, 94, -144, -6, 1354, 16228, -760, , , , , 
472258.0, IMU_DATA, 100, -147, -1, 1366, 16232, -763, , , , , 
477058.0, IMU_DATA, 99, -151, -2, 1363, 16220, -740, , , , , 
481858.0, IMU_DATA, 102, -159, -16, 1356, 16227, -758, , , , , 
486658.0, IMU_DATA, 95, -144, -18, 1361, 16234, -773, , , , , 
491458.0, IMU_DATA, 78, -116, -15, 1354, 16235, -753, , , , , 
496258.0, IMU_DATA, 72, -115, -21, 1366, 16236, -755, , , , , 
501058.0, IMU_DATA, 87, -132, -19, 1375, 16208, -752, , , , , 
505858.0, IMU_DATA, 112, -147, -15, 1348, 16216, -774, , , , , 
510658.0, IMU_DATA, 100, -131, -9, 1342, 16209, -759, , , , , 
515458.0, IMU_DATA, 106, -136, -13, 1359, 16218, -744, , , , , 
520258.0, IMU_DATA, 124, -126, -18, 1343, 16218, -753, , , , , 
525058.0, IMU_DATA, 117, -122, -24, 1367, 16224, -745, , , , , 
529858.0, IMU_DATA, 99, -111, -14, 1361, 16228, -768, , , , , 
534658.0, IMU_DATA, 110, -123, -17, 1363, 16223, -746, , , , , 
539458.0, IMU_DATA, 138, -155, -23, 1375, 16218, -754, , , , , 
544258.0, IMU_DATA, 133, -170, -20, 1352, 16226, -750, , , , , 
515587, IMG_DATA, , , , , , , , , , Image_00005 
549058.0, IMU_DATA, 130, -185, -19, 1373, 16204, -742, , , , , 
553858.0, IMU_DATA, 97, -158, -12, 1358, 16232, -758, , , , , 
558658.0, IMU_DATA, 97, -147, -12, 1361, 16224, -750, , , , , 
563458.0, IMU_DATA, 109, -141, -8, 1344, 16222, -744, , , , , 
568258.0, IMU_DATA, 114, -129, -8, 1365, 16222, -735, , , , , 
573058.0, IMU_DATA, 110, -132, -10, 1362, 16221, -756, , , , , 
577858.0, IMU_DATA, 99, -148, -17, 1343, 16221, -741, , , , , 
582658.0, IMU_DATA, 84, -137, -14, 1342, 16226, -756, , , , , 
587458.0, IMU_DATA, 62, -99, -5, 1374, 16244, -767, , , , , 
592258.0, IMU_DATA, 73, -91, 1, 1366, 16218, -744, , , , , 
597058.0, IMU_DATA, 98, -104, 1, 1376, 16211, -749, , , , , 
601858.0, IMU_DATA, 103, -140, -10, 1368, 16229, -738, , , , , 
606658.0, IMU_DATA, 96, -146, -15, 1369, 16204, -754, , , , , 
611458.0, IMU_DATA, 93, -147, -11, 1362, 16210, -744, , , , , 
616258.0, IMU_DATA, 100, -145, -16, 1377, 16215, -757, , , , , 
621058.0, IMU_DATA, 89, -134, -12, 1357, 16224, -744, , , , , 
625858.0, IMU_DATA, 84, -126, -11, 1365, 16228, -756, , , , , 
630658.0, IMU_DATA, 93, -118, -10, 1346, 16221, -746, , , , , 
635458.0, IMU_DATA, 100, -119, -19, 1347, 16212, -749, , , , , 
640258.0, IMU_DATA, 99, -122, -23, 1360, 16209, -738, , , , , 
645058.0, IMU_DATA, 86, -120, -19, 1352, 16222, -741, , , , , 
649858.0, IMU_DATA, 82, -131, -14, 1348, 16214, -738, , , , , 
615581, IMG_DATA, , , , , , , , , , Image_00006 
