Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
17, IMG_DATA, , , , , , , , , , Image_00000 
11826.0, IMU_DATA, -229, -29, 209, 16352, -871, 158, , , , , 
16626.0, IMU_DATA, 224, 26, -118, 16363, -905, 162, , , , , 
21426.0, IMU_DATA, 219, -66, -83, 16362, -926, 126, , , , , 
26226.0, IMU_DATA, 147, -116, -22, 16352, -915, 145, , , , , 
31026.0, IMU_DATA, 101, -108, -12, 16353, -922, 122, , , , , 
35826.0, IMU_DATA, 91, -91, -11, 16336, -922, 115, , , , , 
40626.0, IMU_DATA, 94, -113, -14, 16376, -915, 96, , , , , 
45426.0, IMU_DATA, 129, -143, -24, 16378, -904, 70, , , , , 
50226.0, IMU_DATA, 147, -145, -30, 16362, -874, 76, , , , , 
55026.0, IMU_DATA, 118, -115, -13, 16360, -885, 85, , , , , 
59826.0, IMU_DATA, 111, -103, -12, 16380, -863, 88, , , , , 
64626.0, IMU_DATA, 111, -89, -19, 16358, -876, 91, , , , , 
69426.0, IMU_DATA, 98, -69, -17, 16345, -861, 98, , , , , 
74226.0, IMU_DATA, 104, -82, -19, 16381, -859, 125, , , , , 
79026.0, IMU_DATA, 93, -87, -10, 16348, -851, 132, , , , , 
83826.0, IMU_DATA, 87, -81, -13, 16361, -846, 123, , , , , 
88626.0, IMU_DATA, 93, -84, -26, 16367, -851, 136, , , , , 
93426.0, IMU_DATA, 108, -96, -36, 16366, -833, 109, , , , , 
98226.0, IMU_DATA, 124, -111, -31, 16392, -838, 124, , , , , 
103026.0, IMU_DATA, 111, -88, -20, 16365, -864, 135, , , , , 
107826.0, IMU_DATA, 88, -80, -5, 16359, -897, 84, , , , , 
112626.0, IMU_DATA, 105, -113, -8, 16338, -890, 116, , , , , 
106222, IMG_DATA, , , , , , , , , , Image_00001 
117426.0, IMU_DATA, 118, -120, -17, 16348, -923, 99, , , , , 
122226.0, IMU_DATA, 106, -93, -16, 16352, -921, 90, , , , , 
127026.0, IMU_DATA, 107, -90, -13, 16361, -911, 102, , , , , 
131826.0, IMU_DATA, 118, -101, -5, 16364, -890, 95, , , , , 
136626.0, IMU_DATA, 121, -115, -14, 16376, -889, 96, , , , , 
141426.0, IMU_DATA, 108, -111, -17, 16355, -917, 109, , , , , 
146226.0, IMU_DATA, 102, -101, -12, 16366, -889, 110, , , , , 
151026.0, IMU_DATA, 96, -95, -20, 16368, -905, 122, , , , , 
155826.0, IMU_DATA, 97, -74, -17, 16371, -902, 130, , , , , 
160626.0, IMU_DATA, 96, -60, -13, 16353, -884, 121, , , , , 
165426.0, IMU_DATA, 79, -71, -17, 16353, -870, 124, , , , , 
170226.0, IMU_DATA, 81, -97, -20, 16383, -856, 125, , , , , 
175026.0, IMU_DATA, 122, -124, -19, 16391, -866, 117, , , , , 
179826.0, IMU_DATA, 129, -111, -17, 16365, -847, 90, , , , , 
184626.0, IMU_DATA, 133, -104, -9, 16328, -866, 103, , , , , 
189426.0, IMU_DATA, 133, -111, -1, 16375, -852, 102, , , , , 
194226.0, IMU_DATA, 116, -117, -10, 16342, -838, 73, , , , , 
199026.0, IMU_DATA, 114, -104, -10, 16350, -863, 86, , , , , 
203826.0, IMU_DATA, 113, -71, -5, 16371, -877, 93, , , , , 
208626.0, IMU_DATA, 104, -60, -5, 16355, -904, 87, , , , , 
213426.0, IMU_DATA, 83, -56, -11, 16347, -899, 100, , , , , 
218226.0, IMU_DATA, 77, -75, -15, 16362, -924, 89, , , , , 
206198, IMG_DATA, , , , , , , , , , Image_00002 
223026.0, IMU_DATA, 102, -107, -17, 16383, -930, 107, , , , , 
227826.0, IMU_DATA, 113, -108, -16, 16356, -924, 110, , , , , 
232626.0, IMU_DATA, 102, -98, -9, 16342, -927, 143, , , , , 
237426.0, IMU_DATA, 106, -87, -3, 16359, -907, 150, , , , , 
242226.0, IMU_DATA, 121, -89, -3, 16346, -905, 112, , , , , 
247026.0, IMU_DATA, 126, -96, -6, 16350, -887, 124, , , , , 
251826.0, IMU_DATA, 123, -105, -8, 16358, -879, 113, , , , , 
256626.0, IMU_DATA, 108, -92, 4, 16344, -888, 117, , , , , 
261426.0, IMU_DATA, 91, -73, 12, 16372, -866, 114, , , , , 
266226.0, IMU_DATA, 101, -105, -6, 16364, -872, 109, , , , , 
271026.0, IMU_DATA, 118, -133, -25, 16349, -847, 79, , , , , 
275826.0, IMU_DATA, 131, -125, -32, 16374, -834, 79, , , , , 
280626.0, IMU_DATA, 100, -99, -20, 16369, -849, 84, , , , , 
285426.0, IMU_DATA, 81, -93, -7, 16366, -850, 62, , , , , 
290226.0, IMU_DATA, 102, -95, -6, 16355, -884, 58, , , , , 
295026.0, IMU_DATA, 131, -120, -13, 16366, -900, 114, , , , , 
299826.0, IMU_DATA, 110, -110, -10, 16372, -889, 95, , , , , 
304626.0, IMU_DATA, 83, -101, -3, 16356, -921, 101, , , , , 
309426.0, IMU_DATA, 88, -95, -9, 16372, -928, 119, , , , , 
314226.0, IMU_DATA, 73, -93, -23, 16331, -922, 129, , , , , 
319026.0, IMU_DATA, 78, -95, -28, 16360, -926, 122, , , , , 
323826.0, IMU_DATA, 105, -102, -19, 16356, -904, 122, , , , , 
306213, IMG_DATA, , , , , , , , , , Image_00003 
328626.0, IMU_DATA, 128, -106, -2, 16364, -897, 112, , , , , 
333426.0, IMU_DATA, 129, -96, -7, 16362, -896, 90, , , , , 
338226.0, IMU_DATA, 120, -94, -22, 16351, -866, 93, , , , , 
343026.0, IMU_DATA, 107, -100, -18, 16357, -849, 76, , , , , 
347826.0, IMU_DATA, 104, -99, -11, 16360, -867, 95, , , , , 
352626.0, IMU_DATA, 115, -90, -17, 16344, -857, 96, , , , , 
357426.0, IMU_DATA, 111, -92, -26, 16361, -851, 92, , , , , 
362226.0, IMU_DATA, 107, -94, -21, 16366, -863, 72, , , , , 
367026.0, IMU_DATA, 107, -90, -15, 16346, -861, 94, , , , , 
371826.0, IMU_DATA, 89, -76, -9, 16375, -865, 96, , , , , 
376626.0, IMU_DATA, 94, -83, -9, 16380, -846, 93, , , , , 
381426.0, IMU_DATA, 113, -99, -17, 16351, -861, 98, , , , , 
386226.0, IMU_DATA, 100, -82, -15, 16370, -862, 107, , , , , 
391026.0, IMU_DATA, 88, -77, -14, 16358, -899, 117, , , , , 
395826.0, IMU_DATA, 106, -99, -19, 16337, -894, 108, , , , , 
400626.0, IMU_DATA, 119, -120, -19, 16346, -907, 114, , , , , 
405426.0, IMU_DATA, 112, -119, -7, 16366, -909, 113, , , , , 
410226.0, IMU_DATA, 105, -90, -6, 16356, -913, 100, , , , , 
415026.0, IMU_DATA, 94, -80, -11, 16332, -906, 110, , , , , 
419826.0, IMU_DATA, 81, -100, -11, 16339, -910, 72, , , , , 
424626.0, IMU_DATA, 69, -101, -6, 16377, -911, 90, , , , , 
429426.0, IMU_DATA, 78, -82, -5, 16363, -909, 58, , , , , 
406717, IMG_DATA, , , , , , , , , , Image_00004 
434226.0, IMU_DATA, 87, -79, -7, 16356, -881, 71, , , , , 
439026.0, IMU_DATA, 95, -103, -11, 16371, -879, 70, , , , , 
443826.0, IMU_DATA, 117, -112, -19, 16372, -867, 79, , , , , 
448626.0, IMU_DATA, 126, -105, -20, 16359, -898, 69, , , , , 
453426.0, IMU_DATA, 119, -100, -18, 16365, -874, 103, , , , , 
458226.0, IMU_DATA, 110, -112, -11, 16366, -884, 118, , , , , 
463026.0, IMU_DATA, 98, -117, -8, 16332, -860, 128, , , , , 
467826.0, IMU_DATA, 99, -98, -5, 16362, -858, 109, , , , , 
472626.0, IMU_DATA, 121, -100, -8, 16370, -862, 127, , , , , 
477426.0, IMU_DATA, 139, -99, -18, 16363, -868, 89, , , , , 
482226.0, IMU_DATA, 129, -87, -21, 16345, -892, 97, , , , , 
487026.0, IMU_DATA, 122, -105, -27, 16366, -878, 94, , , , , 
491826.0, IMU_DATA, 93, -96, -25, 16371, -872, 83, , , , , 
496626.0, IMU_DATA, 85, -76, -14, 16346, -896, 86, , , , , 
501426.0, IMU_DATA, 98, -74, -14, 16370, -918, 80, , , , , 
506226.0, IMU_DATA, 103, -93, -12, 16346, -907, 78, , , , , 
511026.0, IMU_DATA, 118, -104, -8, 16352, -915, 84, , , , , 
515826.0, IMU_DATA, 123, -103, -5, 16342, -923, 88, , , , , 
520626.0, IMU_DATA, 142, -123, -7, 16347, -898, 83, , , , , 
525426.0, IMU_DATA, 137, -115, -6, 16335, -904, 85, , , , , 
530226.0, IMU_DATA, 105, -83, -6, 16360, -921, 103, , , , , 
535026.0, IMU_DATA, 103, -86, -9, 16364, -887, 98, , , , , 
506198, IMG_DATA, , , , , , , , , , Image_00005 
539826.0, IMU_DATA, 106, -100, -12, 16355, -861, 92, , , , , 
544626.0, IMU_DATA, 100, -93, -17, 16362, -875, 111, , , , , 
549426.0, IMU_DATA, 115, -98, -22, 16358, -860, 97, , , , , 
554226.0, IMU_DATA, 122, -90, -13, 16371, -845, 114, , , , , 
559026.0, IMU_DATA, 110, -78, -6, 16343, -853, 100, , , , , 
563826.0, IMU_DATA, 112, -75, -4, 16356, -846, 106, , , , , 
568626.0, IMU_DATA, 130, -82, -1, 16354, -856, 95, , , , , 
573426.0, IMU_DATA, 138, -93, -5, 16366, -860, 91, , , , , 
578226.0, IMU_DATA, 136, -114, -22, 16367, -888, 89, , , , , 
583026.0, IMU_DATA, 107, -97, -22, 16366, -884, 96, , , , , 
587826.0, IMU_DATA, 93, -92, -16, 16387, -903, 90, , , , , 
592626.0, IMU_DATA, 110, -122, -12, 16346, -912, 96, , , , , 
597426.0, IMU_DATA, 122, -125, -8, 16365, -912, 94, , , , , 
602226.0, IMU_DATA, 110, -114, -3, 16377, -919, 111, , , , , 
607026.0, IMU_DATA, 103, -106, -2, 16352, -905, 104, , , , , 
611826.0, IMU_DATA, 80, -83, -6, 16342, -916, 117, , , , , 
616626.0, IMU_DATA, 67, -85, -16, 16346, -911, 103, , , , , 
621426.0, IMU_DATA, 82, -91, -16, 16352, -898, 95, , , , , 
626226.0, IMU_DATA, 100, -75, -6, 16361, -872, 106, , , , , 
631026.0, IMU_DATA, 112, -80, -3, 16385, -871, 114, , , , , 
