Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
17, IMG_DATA, , , , , , , , , , Image_00000 
15218.0, IMU_DATA, -1355, 36, 584, -730, -16444, 753, , , , , 
20018.0, IMU_DATA, -198, -82, 41, -745, -16430, 752, , , , , 
24818.0, IMU_DATA, 220, -139, -80, -720, -16442, 744, , , , , 
29618.0, IMU_DATA, 190, -144, -50, -730, -16443, 755, , , , , 
34418.0, IMU_DATA, 112, -134, -22, -725, -16444, 752, , , , , 
39218.0, IMU_DATA, 89, -124, -21, -713, -16450, 761, , , , , 
44018.0, IMU_DATA, 84, -116, -17, -704, -16459, 752, , , , , 
48818.0, IMU_DATA, 83, -109, -17, -720, -16439, 755, , , , , 
53618.0, IMU_DATA, 85, -110, -25, -720, -16466, 749, , , , , 
58418.0, IMU_DATA, 88, -117, -19, -694, -16439, 752, , , , , 
63218.0, IMU_DATA, 93, -129, -19, -695, -16434, 758, , , , , 
68018.0, IMU_DATA, 103, -133, -30, -720, -16456, 746, , , , , 
72818.0, IMU_DATA, 97, -115, -27, -736, -16448, 739, , , , , 
77618.0, IMU_DATA, 119, -125, -25, -718, -16460, 749, , , , , 
82418.0, IMU_DATA, 146, -158, -24, -725, -16468, 758, , , , , 
87218.0, IMU_DATA, 114, -131, -20, -738, -16453, 752, , , , , 
92018.0, IMU_DATA, 91, -120, -20, -700, -16458, 761, , , , , 
96818.0, IMU_DATA, 96, -132, -18, -714, -16436, 754, , , , , 
101618.0, IMU_DATA, 85, -119, -16, -739, -16442, 758, , , , , 
106418.0, IMU_DATA, 79, -117, -18, -737, -16433, 750, , , , , 
111218.0, IMU_DATA, 103, -132, -21, -721, -16433, 751, , , , , 
116018.0, IMU_DATA, 117, -141, -19, -718, -16454, 747, , , , , 
120818.0, IMU_DATA, 115, -137, -20, -734, -16463, 736, , , , , 
114341, IMG_DATA, , , , , , , , , , Image_00001 
125618.0, IMU_DATA, 99, -120, -28, -720, -16434, 747, , , , , 
130418.0, IMU_DATA, 91, -118, -27, -732, -16456, 739, , , , , 
135218.0, IMU_DATA, 103, -137, -18, -726, -16450, 751, , , , , 
140018.0, IMU_DATA, 117, -148, -20, -743, -16444, 778, , , , , 
144818.0, IMU_DATA, 126, -144, -27, -748, -16466, 766, , , , , 
149618.0, IMU_DATA, 122, -146, -19, -740, -16455, 748, , , , , 
154418.0, IMU_DATA, 118, -140, -14, -746, -16456, 755, , , , , 
159218.0, IMU_DATA, 116, -129, -18, -740, -16458, 763, , , , , 
164018.0, IMU_DATA, 110, -132, -19, -700, -16438, 747, , , , , 
168818.0, IMU_DATA, 94, -135, -26, -719, -16447, 751, , , , , 
173618.0, IMU_DATA, 97, -141, -29, -717, -16426, 757, , , , , 
178418.0, IMU_DATA, 95, -126, -22, -714, -16425, 749, , , , , 
183218.0, IMU_DATA, 92, -104, -18, -703, -16458, 744, , , , , 
188018.0, IMU_DATA, 105, -124, -20, -704, -16469, 747, , , , , 
192818.0, IMU_DATA, 115, -143, -27, -696, -16432, 718, , , , , 
197618.0, IMU_DATA, 103, -126, -23, -710, -16417, 746, , , , , 
202418.0, IMU_DATA, 82, -126, -16, -723, -16448, 740, , , , , 
207218.0, IMU_DATA, 94, -147, -21, -717, -16454, 750, , , , , 
212018.0, IMU_DATA, 103, -140, -20, -756, -16448, 761, , , , , 
216818.0, IMU_DATA, 112, -141, -14, -713, -16441, 752, , , , , 
221618.0, IMU_DATA, 123, -146, -6, -714, -16446, 738, , , , , 
226418.0, IMU_DATA, 123, -135, -16, -731, -16457, 730, , , , , 
214342, IMG_DATA, , , , , , , , , , Image_00002 
231218.0, IMU_DATA, 113, -146, -29, -739, -16456, 765, , , , , 
236018.0, IMU_DATA, 113, -172, -38, -718, -16441, 761, , , , , 
240818.0, IMU_DATA, 107, -148, -26, -727, -16460, 748, , , , , 
245618.0, IMU_DATA, 115, -129, -15, -706, -16449, 752, , , , , 
250418.0, IMU_DATA, 123, -122, -18, -720, -16435, 750, , , , , 
255218.0, IMU_DATA, 107, -133, -20, -691, -16445, 751, , , , , 
260018.0, IMU_DATA, 87, -137, -23, -702, -16472, 743, , , , , 
264818.0, IMU_DATA, 88, -132, -26, -728, -16458, 730, , , , , 
269618.0, IMU_DATA, 80, -113, -24, -710, -16441, 752, , , , , 
274418.0, IMU_DATA, 80, -97, -13, -719, -16445, 759, , , , , 
279218.0, IMU_DATA, 86, -106, -4, -702, -16453, 741, , , , , 
284018.0, IMU_DATA, 101, -110, -10, -710, -16446, 728, , , , , 
288818.0, IMU_DATA, 89, -99, -15, -734, -16455, 778, , , , , 
293618.0, IMU_DATA, 70, -86, -9, -736, -16450, 746, , , , , 
298418.0, IMU_DATA, 75, -82, -11, -706, -16431, 740, , , , , 
303218.0, IMU_DATA, 93, -113, -14, -738, -16442, 749, , , , , 
308018.0, IMU_DATA, 100, -126, -18, -721, -16448, 751, , , , , 
312818.0, IMU_DATA, 110, -129, -14, -720, -16453, 764, , , , , 
317618.0, IMU_DATA, 92, -118, -6, -733, -16450, 739, , , , , 
322418.0, IMU_DATA, 90, -125, -7, -725, -16462, 733, , , , , 
327218.0, IMU_DATA, 117, -138, -16, -732, -16460, 742, , , , , 
332018.0, IMU_DATA, 116, -126, -18, -734, -16454, 755, , , , , 
314342, IMG_DATA, , , , , , , , , , Image_00003 
336818.0, IMU_DATA, 116, -122, -15, -718, -16448, 731, , , , , 
341618.0, IMU_DATA, 111, -136, -12, -725, -16446, 752, , , , , 
346418.0, IMU_DATA, 92, -143, -14, -709, -16445, 738, , , , , 
351218.0, IMU_DATA, 90, -140, -27, -726, -16448, 740, , , , , 
356018.0, IMU_DATA, 105, -134, -20, -742, -16468, 760, , , , , 
360818.0, IMU_DATA, 104, -128, -15, -732, -16451, 731, , , , , 
365618.0, IMU_DATA, 106, -117, -20, -717, -16445, 750, , , , , 
370418.0, IMU_DATA, 126, -119, -22, -700, -16453, 744, , , , , 
375218.0, IMU_DATA, 124, -119, -13, -729, -16445, 745, , , , , 
380018.0, IMU_DATA, 118, -130, -14, -722, -16466, 763, , , , , 
384818.0, IMU_DATA, 132, -148, -16, -712, -16441, 734, , , , , 
389618.0, IMU_DATA, 128, -135, -9, -713, -16452, 736, , , , , 
394418.0, IMU_DATA, 108, -130, -2, -731, -16451, 754, , , , , 
399218.0, IMU_DATA, 108, -160, -13, -728, -16449, 744, , , , , 
404018.0, IMU_DATA, 113, -168, -30, -728, -16416, 730, , , , , 
408818.0, IMU_DATA, 113, -147, -16, -732, -16440, 734, , , , , 
413618.0, IMU_DATA, 103, -125, -9, -746, -16446, 729, , , , , 
418418.0, IMU_DATA, 96, -122, -21, -745, -16450, 732, , , , , 
423218.0, IMU_DATA, 105, -144, -24, -757, -16455, 721, , , , , 
428018.0, IMU_DATA, 106, -151, -17, -732, -16460, 750, , , , , 
432818.0, IMU_DATA, 110, -141, -15, -690, -16432, 742, , , , , 
414694, IMG_DATA, , , , , , , , , , Image_00004 
437618.0, IMU_DATA, 123, -134, -24, -722, -16452, 748, , , , , 
442418.0, IMU_DATA, 127, -143, -19, -732, -16452, 744, , , , , 
447218.0, IMU_DATA, 113, -135, -7, -727, -16442, 770, , , , , 
452018.0, IMU_DATA, 106, -129, -5, -726, -16447, 779, , , , , 
456818.0, IMU_DATA, 107, -121, -7, -722, -16443, 755, , , , , 
461618.0, IMU_DATA, 110, -127, -20, -707, -16453, 753, , , , , 
466418.0, IMU_DATA, 113, -134, -23, -720, -16439, 744, , , , , 
471218.0, IMU_DATA, 115, -131, -16, -710, -16434, 738, , , , , 
476018.0, IMU_DATA, 101, -133, -24, -728, -16448, 741, , , , , 
480818.0, IMU_DATA, 87, -120, -12, -760, -16456, 746, , , , , 
485618.0, IMU_DATA, 68, -104, 4, -725, -16443, 754, , , , , 
490418.0, IMU_DATA, 77, -96, -4, -740, -16462, 763, , , , , 
495218.0, IMU_DATA, 99, -114, -11, -732, -16463, 741, , , , , 
500018.0, IMU_DATA, 110, -131, -7, -732, -16461, 759, , , , , 
504818.0, IMU_DATA, 128, -149, -9, -730, -16453, 752, , , , , 
509618.0, IMU_DATA, 133, -161, -8, -741, -16462, 728, , , , , 
514418.0, IMU_DATA, 122, -153, -10, -737, -16449, 734, , , , , 
519218.0, IMU_DATA, 118, -142, -16, -728, -16465, 738, , , , , 
524018.0, IMU_DATA, 120, -151, -16, -743, -16452, 754, , , , , 
528818.0, IMU_DATA, 98, -117, -15, -716, -16439, 767, , , , , 
533618.0, IMU_DATA, 98, -107, -22, -727, -16448, 766, , , , , 
538418.0, IMU_DATA, 104, -120, -25, -722, -16440, 744, , , , , 
543218.0, IMU_DATA, 119, -137, -24, -737, -16474, 747, , , , , 
514360, IMG_DATA, , , , , , , , , , Image_00005 
548018.0, IMU_DATA, 130, -141, -23, -728, -16449, 757, , , , , 
552818.0, IMU_DATA, 108, -128, -17, -713, -16450, 731, , , , , 
557618.0, IMU_DATA, 95, -130, -8, -723, -16455, 750, , , , , 
562418.0, IMU_DATA, 94, -128, 0, -723, -16464, 754, , , , , 
567218.0, IMU_DATA, 105, -121, -6, -709, -16447, 750, , , , , 
572018.0, IMU_DATA, 104, -128, -16, -731, -16463, 745, , , , , 
576818.0, IMU_DATA, 111, -141, -11, -709, -16472, 728, , , , , 
581618.0, IMU_DATA, 112, -145, -4, -733, -16449, 762, , , , , 
586418.0, IMU_DATA, 89, -124, -4, -732, -16450, 754, , , , , 
591218.0, IMU_DATA, 91, -138, -12, -701, -16453, 748, , , , , 
596018.0, IMU_DATA, 108, -157, -14, -688, -16456, 739, , , , , 
600818.0, IMU_DATA, 89, -129, -8, -728, -16435, 760, , , , , 
605618.0, IMU_DATA, 85, -118, -2, -736, -16453, 764, , , , , 
610418.0, IMU_DATA, 83, -113, -1, -752, -16450, 730, , , , , 
615218.0, IMU_DATA, 86, -100, -15, -731, -16456, 731, , , , , 
620018.0, IMU_DATA, 98, -105, -27, -731, -16451, 763, , , , , 
624818.0, IMU_DATA, 114, -121, -15, -714, -16426, 751, , , , , 
629618.0, IMU_DATA, 125, -151, -4, -728, -16454, 759, , , , , 
634418.0, IMU_DATA, 119, -152, -4, -702, -16436, 730, , , , , 
639218.0, IMU_DATA, 125, -136, -12, -742, -16462, 761, , , , , 
644018.0, IMU_DATA, 124, -124, -16, -715, -16450, 740, , , , , 
648818.0, IMU_DATA, 103, -115, -10, -720, -16453, 753, , , , , 
614351, IMG_DATA, , , , , , , , , , Image_00006 
653618.0, IMU_DATA, 96, -126, -11, -698, -16447, 741, , , , , 
658418.0, IMU_DATA, 94, -127, -22, -717, -16455, 750, , , , , 
