Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
0.343983, IMU_DATA, 0.455, -0.695625, -0.153125, 16364, -28, -368, , , , , 
0.348783, IMU_DATA, 0.511875, -0.74375, -0.144375, 16374, -31, -402, , , , , 
0.353583, IMU_DATA, 0.51625, -0.72625, -0.118125, 16365, -8, -405, , , , , 
0.358383, IMU_DATA, 0.459375, -0.69125, -0.118125, 16384, -16, -374, , , , , 
0.363183, IMU_DATA, 0.494375, -0.739375, -0.11375, 16399, -20, -382, , , , , 
0.367983, IMU_DATA, 0.625625, -0.8575, -0.11375, 16389, -13, -386, , , , , 
0.372783, IMU_DATA, 0.651875, -0.90125, -0.056875, 16365, -18, -392, , , , , 
0.377583, IMU_DATA, 0.5775, -0.79625, -0.030625, 16369, -41, -389, , , , , 
0.382383, IMU_DATA, 0.56875, -0.7175, -0.100625, 16390, -3, -386, , , , , 
0.387183, IMU_DATA, 0.62125, -0.7175, -0.1575, 16398, 3, -401, , , , , 
0.391983, IMU_DATA, 0.529375, -0.65625, -0.083125, 16386, -3, -387, , , , , 
0.396783, IMU_DATA, 0.450625, -0.58625, -0.039375, 16356, -14, -378, , , , , 
0.401582, IMU_DATA, 0.520625, -0.65625, -0.07875, 16365, -32, -386, , , , , 
0.406383, IMU_DATA, 0.573125, -0.7875, -0.109375, 16382, -20, -391, , , , , 
0.411182, IMU_DATA, 0.455, -0.70875, -0.083125, 16349, -3, -381, , , , , 
0.415982, IMU_DATA, 0.389375, -0.67375, -0.126875, 16375, 1, -378, , , , , 
0.420783, IMU_DATA, 0.385, -0.634375, -0.100625, 16388, -39, -373, , , , , 
0.425583, IMU_DATA, 0.415625, -0.6825, -0.021875, 16370, -46, -369, , , , , 
0.408318, IMG_DATA, , , , , , , , , , Image_00004 
0.430382, IMU_DATA, 0.385, -0.686875, -0.056875, 16392, 12, -367, , , , , 
0.435183, IMU_DATA, 0.44625, -0.730625, -0.105, 16404, -7, -389, , , , , 
0.439983, IMU_DATA, 0.42875, -0.713125, -0.105, 16393, -26, -385, , , , , 
0.444782, IMU_DATA, 0.4375, -0.735, -0.09625, 16360, -22, -374, , , , , 
0.449583, IMU_DATA, 0.476875, -0.730625, -0.109375, 16358, -19, -370, , , , , 
0.454383, IMU_DATA, 0.511875, -0.713125, -0.109375, 16393, -28, -380, , , , , 
0.459183, IMU_DATA, 0.48125, -0.730625, -0.07, 16385, -34, -417, , , , , 
0.463983, IMU_DATA, 0.468125, -0.721875, -0.09625, 16379, -22, -381, , , , , 
0.468782, IMU_DATA, 0.555625, -0.669375, -0.135625, 16390, -19, -400, , , , , 
0.473583, IMU_DATA, 0.58625, -0.62125, -0.161875, 16411, -24, -425, , , , , 
0.478383, IMU_DATA, 0.599375, -0.704375, -0.21, 16390, -39, -396, , , , , 
