Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
3.05176e-05, IMG_DATA, , , , , , , , , , Image_00000 
0.0328674, IMG_DATA, , , , , , , , , , Image_00001 
0.0672607, IMG_DATA, , , , , , , , , , Image_00002 
0.10025, IMG_DATA, , , , , , , , , , Image_00003 
0.133667, IMG_DATA, , , , , , , , , , Image_00004 
0.145508, IMU_DATA, 0.77875, -0.77875, -0.455, -133, -1648, -16378, , , , , 
0.145813, IMU_DATA, -0.105, -0.44625, 0.109375, -119, -1628, -16428, , , , , 
0.146103, IMU_DATA, 0.004375, -0.665, -0.564375, -161, -1519, -16454, , , , , 
0.146408, IMU_DATA, 0.9975, -1.33437, -0.004375, -80, -1627, -16505, , , , , 
0.146698, IMU_DATA, -0.21875, 0.223125, 0.77875, -90, -1603, -16441, , , , , 
0.147003, IMU_DATA, 0.11375, -0.77875, -0.678125, -116, -1615, -16423, , , , , 
0.147308, IMU_DATA, 0.44625, -0.555625, -0.34125, -131, -1671, -16509, , , , , 
0.147614, IMU_DATA, 0.11375, -0.665, 0.783125, -185, -1624, -16434, , , , , 
0.147903, IMU_DATA, 1.77187, -1.00187, -0.450625, -157, -1574, -16438, , , , , 
0.148209, IMU_DATA, -0.328125, -0.223125, -0.004375, -145, -1656, -16380, , , , , 
0.148499, IMU_DATA, 0.77875, -0.9975, -0.2275, -96, -1707, -16372, , , , , 
0.148804, IMU_DATA, 0.336875, -0.223125, 0.223125, -111, -1629, -16414, , , , , 
0.149109, IMU_DATA, 0.11375, -0.665, 0.223125, -112, -1567, -16464, , , , , 
0.149414, IMU_DATA, -0.21875, -0.109375, -0.11375, -206, -1606, -16419, , , , , 
0.149704, IMU_DATA, 0.9975, -0.555625, -0.678125, -120, -1612, -16429, , , , , 
0.150009, IMU_DATA, 0.888125, -0.9975, -0.678125, -91, -1708, -16436, , , , , 
0.150299, IMU_DATA, 0.004375, -0.223125, 1.12, -149, -1656, -16382, , , , , 
0.150604, IMU_DATA, 0.9975, -0.888125, -0.34125, -103, -1641, -16380, , , , , 
0.150909, IMU_DATA, 0.11375, -1.11125, -0.004375, -136, -1591, -16416, , , , , 
0.151215, IMU_DATA, 0.665, -0.441875, 0.555625, -132, -1661, -16409, , , , , 
0.151505, IMU_DATA, 1.22062, -0.77875, -0.118125, -115, -1678, -16461, , , , , 
0.15181, IMU_DATA, 0.223125, -0.665, -0.90125, -144, -1618, -16350, , , , , 
0.1521, IMU_DATA, 0.888125, -1.225, 0.555625, -150, -1633, -16438, , , , , 
0.152405, IMU_DATA, -0.4375, 0.0, -0.004375, -142, -1611, -16461, , , , , 
0.15271, IMU_DATA, 1.6625, -1.33437, -0.118125, -91, -1664, -16423, , , , , 
0.153015, IMU_DATA, 0.555625, -0.44625, 0.3325, -113, -1548, -16390, , , , , 
0.153305, IMU_DATA, 0.223125, -0.888125, -0.34125, -201, -1575, -16435, , , , , 
0.15361, IMU_DATA, 0.555625, -0.9975, 0.223125, -156, -1607, -16422, , , , , 
0.1539, IMU_DATA, 0.888125, -0.44625, -0.004375, -157, -1637, -16386, , , , , 
0.154205, IMU_DATA, 0.44625, -0.888125, 0.3325, -93, -1652, -16393, , , , , 
0.15451, IMU_DATA, 0.555625, -0.3325, -0.2275, -67, -1674, -16396, , , , , 
0.154816, IMU_DATA, 1.11125, -1.00187, -0.564375, -120, -1707, -16399, , , , , 
0.155106, IMU_DATA, 0.888125, -0.665, 0.3325, -63, -1726, -16399, , , , , 
0.155411, IMU_DATA, 0.555625, -0.77875, -0.678125, -85, -1595, -16342, , , , , 
0.155701, IMU_DATA, 0.44625, -0.223125, 0.669375, -114, -1646, -16356, , , , , 
0.156006, IMU_DATA, 1.22062, -0.555625, -1.015, -107, -1627, -16390, , , , , 
0.156311, IMU_DATA, 0.223125, -0.77875, 1.00625, -200, -1657, -16397, , , , , 
0.156616, IMU_DATA, 1.6625, -0.223125, -0.678125, -108, -1649, -16423, , , , , 
0.156906, IMU_DATA, 0.44625, 0.0, -0.004375, -94, -1639, -16446, , , , , 
0.157211, IMU_DATA, 0.888125, -0.555625, -0.2275, -72, -1586, -16393, , , , , 
0.157501, IMU_DATA, 0.44625, -1.33437, 0.21875, -109, -1708, -16400, , , , , 
0.157806, IMU_DATA, 1.33, -0.109375, 0.109375, -107, -1680, -16401, , , , , 
0.158112, IMU_DATA, 0.665, -0.44625, -0.450625, -75, -1593, -16423, , , , , 
0.158417, IMU_DATA, 0.9975, -0.441875, 1.12, -151, -1723, -16411, , , , , 
0.158707, IMU_DATA, 0.11375, -0.77875, -0.67375, -141, -1734, -16362, , , , , 
0.159012, IMU_DATA, 1.33, -0.441875, -0.11375, -142, -1663, -16361, , , , , 
0.159302, IMU_DATA, 0.77875, -0.44625, 0.555625, -92, -1653, -16434, , , , , 
0.159607, IMU_DATA, 0.44625, -0.77875, -0.450625, -130, -1606, -16394, , , , , 
0.159912, IMU_DATA, 0.888125, -0.109375, -0.11375, -112, -1592, -16361, , , , , 
0.160202, IMU_DATA, 0.223125, -0.888125, 0.3325, -153, -1586, -16379, , , , , 
0.160507, IMU_DATA, 0.223125, -0.44625, 0.44625, -146, -1570, -16420, , , , , 
0.160812, IMU_DATA, 1.54875, -1.11125, -0.455, -108, -1660, -16394, , , , , 
0.161102, IMU_DATA, 0.004375, -0.888125, 0.3325, -188, -1636, -16492, , , , , 
0.161407, IMU_DATA, 0.555625, -0.3325, -0.450625, -182, -1598, -16471, , , , , 
0.161713, IMU_DATA, 0.9975, -0.669375, -0.11375, -146, -1662, -16407, , , , , 
0.162003, IMU_DATA, -0.328125, 0.3325, 0.223125, -143, -1629, -16366, , , , , 
0.162308, IMU_DATA, 1.77187, -1.5575, -0.2275, -80, -1611, -16432, , , , , 
0.162613, IMU_DATA, 0.77875, 0.0, -0.450625, -108, -1717, -16428, , , , , 
0.162903, IMU_DATA, 0.336875, -0.44625, 0.555625, -127, -1685, -16394, , , , , 
0.163208, IMU_DATA, 0.2275, -0.665, 0.555625, -74, -1649, -16454, , , , , 
0.163513, IMU_DATA, 1.43937, -1.22062, -1.01062, -144, -1720, -16429, , , , , 
0.163803, IMU_DATA, 0.336875, -0.11375, 0.669375, -145, -1656, -16411, , , , , 
0.164108, IMU_DATA, 0.004375, -0.888125, -0.34125, -117, -1708, -16478, , , , , 
0.164413, IMU_DATA, 0.77875, -1.44375, -0.11375, -94, -1631, -16454, , , , , 
0.164703, IMU_DATA, 0.888125, -0.77875, 0.3325, -40, -1633, -16436, , , , , 
0.165009, IMU_DATA, 0.77875, -0.669375, -0.450625, -35, -1733, -16427, , , , , 
0.165298, IMU_DATA, 0.2275, -0.555625, 0.44625, -85, -1749, -16442, , , , , 
0.165604, IMU_DATA, 0.9975, -0.665, -0.564375, -56, -1674, -16424, , , , , 
0.165909, IMU_DATA, 0.77875, -0.77875, -0.7875, -105, -1668, -16392, , , , , 
0.166214, IMU_DATA, -0.4375, -0.555625, 0.44625, -111, -1667, -16433, , , , , 
0.166504, IMU_DATA, 0.669375, -1.44375, -0.450625, -102, -1664, -16391, , , , , 
0.166809, IMU_DATA, 0.44625, -0.665, 0.3325, -115, -1499, -16448, , , , , 
0.167099, IMU_DATA, 0.223125, -0.44625, -0.118125, -180, -1600, -16436, , , , , 
0.167404, IMU_DATA, 0.77875, -1.11125, -0.34125, -171, -1684, -16438, , , , , 
0.167709, IMU_DATA, 0.004375, -0.77875, -0.11375, -112, -1638, -16449, , , , , 
0.168015, IMU_DATA, 0.44625, -0.223125, -0.004375, -171, -1624, -16379, , , , , 
0.168304, IMU_DATA, 1.33, -1.66687, -0.2275, -135, -1591, -16350, , , , , 
0.16861, IMU_DATA, -0.441875, -0.223125, 0.223125, -110, -1598, -16300, , , , , 
0.1689, IMU_DATA, 0.665, -0.669375, -0.34125, -124, -1651, -16420, , , , , 
0.169205, IMU_DATA, -0.105, -0.336875, -0.118125, -105, -1602, -16431, , , , , 
0.16951, IMU_DATA, 0.669375, -0.223125, 0.555625, -167, -1599, -16506, , , , , 
0.169815, IMU_DATA, 0.44625, -0.665, 0.109375, -136, -1625, -16428, , , , , 
0.170105, IMU_DATA, 0.555625, -1.5575, -0.11375, -195, -1557, -16431, , , , , 
0.17041, IMU_DATA, 0.44625, 0.223125, 0.555625, -140, -1662, -16397, , , , , 
0.1707, IMU_DATA, 0.77875, -0.555625, -0.67375, -54, -1668, -16423, , , , , 
0.171005, IMU_DATA, 0.11375, -0.888125, -0.004375, -121, -1598, -16436, , , , , 
0.17131, IMU_DATA, 0.665, -0.441875, -0.564375, -226, -1628, -16433, , , , , 
0.171616, IMU_DATA, 0.004375, -0.77875, -0.2275, -185, -1632, -16383, , , , , 
0.171906, IMU_DATA, 0.11375, -0.3325, 0.223125, -113, -1613, -16420, , , , , 
0.172211, IMU_DATA, 0.555625, -0.77875, 0.44625, -141, -1667, -16437, , , , , 
