Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
17, IMG_DATA, , , , , , , , , , Image_00000 
350682.0, IMU_DATA, 109, -152, -20, 73, 16271, -791, , , , , 
355482.0, IMU_DATA, 94, -166, -26, 48, 16283, -783, , , , , 
360282.0, IMU_DATA, 95, -173, -22, 57, 16266, -792, , , , , 
365082.0, IMU_DATA, 102, -178, -19, 62, 16281, -791, , , , , 
369882.0, IMU_DATA, 111, -179, -17, 74, 16261, -771, , , , , 
374682.0, IMU_DATA, 117, -145, -12, 66, 16270, -779, , , , , 
379482.0, IMU_DATA, 112, -134, -9, 44, 16272, -767, , , , , 
384282.0, IMU_DATA, 108, -159, -17, 60, 16273, -782, , , , , 
389082.0, IMU_DATA, 109, -166, -26, 58, 16291, -780, , , , , 
393882.0, IMU_DATA, 120, -168, -21, 70, 16287, -777, , , , , 
398682.0, IMU_DATA, 99, -153, -8, 66, 16276, -781, , , , , 
403482.0, IMU_DATA, 80, -137, -8, 60, 16265, -792, , , , , 
408282.0, IMU_DATA, 105, -149, -20, 47, 16268, -791, , , , , 
413082.0, IMU_DATA, 133, -165, -14, 74, 16294, -772, , , , , 
417882.0, IMU_DATA, 132, -167, -6, 44, 16280, -788, , , , , 
422682.0, IMU_DATA, 124, -152, -10, 58, 16276, -803, , , , , 
427482.0, IMU_DATA, 126, -157, -16, 54, 16257, -814, , , , , 
432282.0, IMU_DATA, 126, -170, -19, 48, 16264, -819, , , , , 
414147, IMG_DATA, , , , , , , , , , Image_00004 
437082.0, IMU_DATA, 108, -162, -22, 61, 16277, -796, , , , , 
441882.0, IMU_DATA, 113, -150, -24, 56, 16278, -795, , , , , 
446682.0, IMU_DATA, 104, -151, -28, 48, 16261, -798, , , , , 
451482.0, IMU_DATA, 93, -155, -34, 46, 16260, -802, , , , , 
456282.0, IMU_DATA, 101, -168, -33, 53, 16276, -809, , , , , 
461082.0, IMU_DATA, 117, -168, -26, 18, 16278, -801, , , , , 
465882.0, IMU_DATA, 129, -149, -32, 58, 16276, -798, , , , , 
470682.0, IMU_DATA, 141, -147, -24, 46, 16274, -804, , , , , 
475482.0, IMU_DATA, 145, -154, -13, 57, 16282, -798, , , , , 
480282.0, IMU_DATA, 116, -142, -21, 60, 16269, -799, , , , , 
485082.0, IMU_DATA, 85, -130, -23, 21, 16259, -814, , , , , 
489882.0, IMU_DATA, 82, -126, -15, 32, 16284, -784, , , , , 
494682.0, IMU_DATA, 108, -126, -14, 61, 16287, -782, , , , , 
499482.0, IMU_DATA, 112, -141, -18, 64, 16298, -800, , , , , 
504282.0, IMU_DATA, 107, -162, -23, 70, 16276, -795, , , , , 
509082.0, IMU_DATA, 111, -163, -28, 37, 16273, -795, , , , , 
513882.0, IMU_DATA, 108, -155, -27, 46, 16264, -785, , , , , 
518682.0, IMU_DATA, 106, -146, -22, 81, 16284, -798, , , , , 
523482.0, IMU_DATA, 95, -144, -15, 59, 16296, -792, , , , , 
528282.0, IMU_DATA, 93, -147, -7, 53, 16276, -793, , , , , 
533082.0, IMU_DATA, 107, -161, -9, 73, 16285, -784, , , , , 
537882.0, IMU_DATA, 110, -152, -21, 54, 16289, -789, , , , , 
542682.0, IMU_DATA, 109, -143, -20, 72, 16283, -785, , , , , 
